STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
GR000016716,"HELLINIKON, GR",16-04-55,0.04,,,67,51
GR000016716,"HELLINIKON, GR",17-04-55,0,,,67,48
GR000016716,"HELLINIKON, GR",18-04-55,0,,,65,47
GR000016716,"HELLINIKON, GR",19-04-55,0.13,,,61,49
GR000016716,"HELLINIKON, GR",20-04-55,0,,,63,46
GR000016716,"HELLINIKON, GR",21-04-55,0,,,63,43
GR000016716,"HELLINIKON, GR",22-04-55,0,,,63,45
GR000016716,"HELLINIKON, GR",23-04-55,0,,,67,48
GR000016716,"HELLINIKON, GR",24-04-55,0,,,67,48
GR000016716,"HELLINIKON, GR",25-04-55,0.04,,,68,56
GR000016716,"HELLINIKON, GR",26-04-55,0.11,,,59,51
GR000016716,"HELLINIKON, GR",27-04-55,0,,,66,49
GR000016716,"HELLINIKON, GR",28-04-55,0,,,70,48
GR000016716,"HELLINIKON, GR",29-04-55,0,,,70,50
GR000016716,"HELLINIKON, GR",30-04-55,0,,,68,52
GR000016716,"HELLINIKON, GR",01-05-55,0,,,73,50
GR000016716,"HELLINIKON, GR",02-05-55,0,,,69,56
GR000016716,"HELLINIKON, GR",03-05-55,0,,,75,55
GR000016716,"HELLINIKON, GR",04-05-55,0,,,74,55
GR000016716,"HELLINIKON, GR",05-05-55,0,,,75,55
GR000016716,"HELLINIKON, GR",06-05-55,0,,,72,57
GR000016716,"HELLINIKON, GR",07-05-55,0,,,72,56
GR000016716,"HELLINIKON, GR",08-05-55,0,,,73,56
GR000016716,"HELLINIKON, GR",09-05-55,0,,,81,56
GR000016716,"HELLINIKON, GR",10-05-55,0,,,79,56
GR000016716,"HELLINIKON, GR",11-05-55,0.01,,,74,56
GR000016716,"HELLINIKON, GR",12-05-55,0,,,77,54
GR000016716,"HELLINIKON, GR",13-05-55,0,,,77,63
GR000016716,"HELLINIKON, GR",14-05-55,0,,,76,62
GR000016716,"HELLINIKON, GR",15-05-55,0,,,74,58
GR000016716,"HELLINIKON, GR",16-05-55,0,,,75,59
GR000016716,"HELLINIKON, GR",17-05-55,0,,,78,63
GR000016716,"HELLINIKON, GR",18-05-55,0,,,78,62
GR000016716,"HELLINIKON, GR",19-05-55,0,,,82,63
GR000016716,"HELLINIKON, GR",20-05-55,0,,,83,64
GR000016716,"HELLINIKON, GR",21-05-55,0,,,81,63
GR000016716,"HELLINIKON, GR",22-05-55,0,,,82,65
GR000016716,"HELLINIKON, GR",23-05-55,0,,,80,67
GR000016716,"HELLINIKON, GR",24-05-55,0,,,73,61
GR000016716,"HELLINIKON, GR",25-05-55,0,,,73,57
GR000016716,"HELLINIKON, GR",26-05-55,0,,,73,57
GR000016716,"HELLINIKON, GR",27-05-55,0,,,77,61
GR000016716,"HELLINIKON, GR",28-05-55,0,,,82,67
GR000016716,"HELLINIKON, GR",29-05-55,0,,,86,68
GR000016716,"HELLINIKON, GR",30-05-55,0,,,82,69
GR000016716,"HELLINIKON, GR",31-05-55,0,,,82,68
GR000016716,"HELLINIKON, GR",01-06-55,0,,,79,64
GR000016716,"HELLINIKON, GR",02-06-55,0,,,80,63
GR000016716,"HELLINIKON, GR",03-06-55,0,,,79,63
GR000016716,"HELLINIKON, GR",04-06-55,0,,,80,66
GR000016716,"HELLINIKON, GR",05-06-55,0,,,81,64
GR000016716,"HELLINIKON, GR",06-06-55,0,,,82,66
GR000016716,"HELLINIKON, GR",07-06-55,0,,,81,68
GR000016716,"HELLINIKON, GR",08-06-55,0,,,79,66
GR000016716,"HELLINIKON, GR",09-06-55,0,,,86,67
GR000016716,"HELLINIKON, GR",10-06-55,0,,,92,68
GR000016716,"HELLINIKON, GR",11-06-55,0,,,87,72
GR000016716,"HELLINIKON, GR",12-06-55,0,,,88,72
GR000016716,"HELLINIKON, GR",13-06-55,0,,,81,68
GR000016716,"HELLINIKON, GR",14-06-55,0,,,80,64
GR000016716,"HELLINIKON, GR",15-06-55,0,,,83,68
GR000016716,"HELLINIKON, GR",16-06-55,0,,,79,67
GR000016716,"HELLINIKON, GR",17-06-55,0,,,81,62
GR000016716,"HELLINIKON, GR",18-06-55,0,,,83,65
GR000016716,"HELLINIKON, GR",19-06-55,0,,,93,65
GR000016716,"HELLINIKON, GR",20-06-55,0,,,91,76
GR000016716,"HELLINIKON, GR",21-06-55,0,,,94,72
GR000016716,"HELLINIKON, GR",22-06-55,0,,,95,69
GR000016716,"HELLINIKON, GR",23-06-55,0,,,90,71
GR000016716,"HELLINIKON, GR",24-06-55,0,,,88,73
GR000016716,"HELLINIKON, GR",25-06-55,0,,,86,70
GR000016716,"HELLINIKON, GR",26-06-55,0,,,83,65
GR000016716,"HELLINIKON, GR",27-06-55,0,,,85,67
GR000016716,"HELLINIKON, GR",28-06-55,0,,,88,70
GR000016716,"HELLINIKON, GR",29-06-55,0,,,87,72
GR000016716,"HELLINIKON, GR",30-06-55,0,,,88,73
GR000016716,"HELLINIKON, GR",01-07-55,0,,,88,70
GR000016716,"HELLINIKON, GR",02-07-55,0,,,91,72
GR000016716,"HELLINIKON, GR",03-07-55,0,,,91,71
GR000016716,"HELLINIKON, GR",04-07-55,0,,,87,72
GR000016716,"HELLINIKON, GR",05-07-55,0,,,86,71
GR000016716,"HELLINIKON, GR",06-07-55,0,,,87,71
GR000016716,"HELLINIKON, GR",07-07-55,0,,,87,74
GR000016716,"HELLINIKON, GR",08-07-55,0,,,86,69
GR000016716,"HELLINIKON, GR",09-07-55,0,,,85,68
GR000016716,"HELLINIKON, GR",10-07-55,0,,,86,71
GR000016716,"HELLINIKON, GR",11-07-55,0,,,87,70
GR000016716,"HELLINIKON, GR",12-07-55,0,,,89,70
GR000016716,"HELLINIKON, GR",13-07-55,0,,,92,76
GR000016716,"HELLINIKON, GR",14-07-55,0,,,91,72
GR000016716,"HELLINIKON, GR",15-07-55,0,,,88,73
GR000016716,"HELLINIKON, GR",16-07-55,0,,,91,69
GR000016716,"HELLINIKON, GR",17-07-55,0,,,91,73
GR000016716,"HELLINIKON, GR",18-07-55,0,,,91,70
GR000016716,"HELLINIKON, GR",19-07-55,0,,,90,75
GR000016716,"HELLINIKON, GR",20-07-55,0,,,94,73
GR000016716,"HELLINIKON, GR",21-07-55,0,,,90,72
GR000016716,"HELLINIKON, GR",22-07-55,0,,,91,75
GR000016716,"HELLINIKON, GR",23-07-55,0,,,91,75
GR000016716,"HELLINIKON, GR",24-07-55,0,,,90,70
GR000016716,"HELLINIKON, GR",25-07-55,0.09,,,88,71
GR000016716,"HELLINIKON, GR",26-07-55,0,,,86,72
GR000016716,"HELLINIKON, GR",27-07-55,0,,,94,74
GR000016716,"HELLINIKON, GR",28-07-55,0,,,92,79
GR000016716,"HELLINIKON, GR",29-07-55,0,,,91,77
GR000016716,"HELLINIKON, GR",30-07-55,0,,,87,80
GR000016716,"HELLINIKON, GR",31-07-55,0,,,88,71
GR000016716,"HELLINIKON, GR",01-08-55,0,,,85,72
GR000016716,"HELLINIKON, GR",02-08-55,0,,,86,70
GR000016716,"HELLINIKON, GR",03-08-55,0,,,87,72
GR000016716,"HELLINIKON, GR",04-08-55,0,,,90,74
GR000016716,"HELLINIKON, GR",05-08-55,0,,,88,75
GR000016716,"HELLINIKON, GR",06-08-55,0,,,86,73
GR000016716,"HELLINIKON, GR",07-08-55,0,,,87,72
GR000016716,"HELLINIKON, GR",08-08-55,0,,,85,72
GR000016716,"HELLINIKON, GR",09-08-55,0,,,86,68
GR000016716,"HELLINIKON, GR",10-08-55,0,,,88,73
GR000016716,"HELLINIKON, GR",11-08-55,0,,,86,69
GR000016716,"HELLINIKON, GR",12-08-55,0,,,87,71
GR000016716,"HELLINIKON, GR",13-08-55,0,,,86,72
GR000016716,"HELLINIKON, GR",14-08-55,0,,,90,72
GR000016716,"HELLINIKON, GR",15-08-55,0,,,92,73
GR000016716,"HELLINIKON, GR",16-08-55,0.19,,,87,70
GR000016716,"HELLINIKON, GR",17-08-55,0.25,,,78,65
GR000016716,"HELLINIKON, GR",18-08-55,0.22,,,79,68
GR000016716,"HELLINIKON, GR",19-08-55,0,,,86,65
GR000016716,"HELLINIKON, GR",20-08-55,0,,,86,67
GR000016716,"HELLINIKON, GR",21-08-55,0,,,87,69
GR000016716,"HELLINIKON, GR",22-08-55,0,,,86,70
GR000016716,"HELLINIKON, GR",23-08-55,0,,,88,69
GR000016716,"HELLINIKON, GR",24-08-55,0,,,89,72
GR000016716,"HELLINIKON, GR",25-08-55,0,,,92,68
GR000016716,"HELLINIKON, GR",26-08-55,0,,,92,68
GR000016716,"HELLINIKON, GR",27-08-55,0,,,91,71
GR000016716,"HELLINIKON, GR",28-08-55,0,,,87,73
GR000016716,"HELLINIKON, GR",29-08-55,0,,,88,72
GR000016716,"HELLINIKON, GR",30-08-55,0,,,86,71
GR000016716,"HELLINIKON, GR",31-08-55,0,,,84,69
GR000016716,"HELLINIKON, GR",01-09-55,0,,,84,70
GR000016716,"HELLINIKON, GR",02-09-55,1.15,,,83,70
GR000016716,"HELLINIKON, GR",03-09-55,0.61,,,82,69
GR000016716,"HELLINIKON, GR",04-09-55,0,,,83,66
GR000016716,"HELLINIKON, GR",05-09-55,0,,,84,68
GR000016716,"HELLINIKON, GR",06-09-55,0,,,83,68
GR000016716,"HELLINIKON, GR",07-09-55,0,,,86,68
GR000016716,"HELLINIKON, GR",08-09-55,0,,,88,66
GR000016716,"HELLINIKON, GR",09-09-55,0,,,87,70
GR000016716,"HELLINIKON, GR",10-09-55,0,,,91,69
GR000016716,"HELLINIKON, GR",11-09-55,0,,,85,67
GR000016716,"HELLINIKON, GR",12-09-55,0,,,86,66
GR000016716,"HELLINIKON, GR",13-09-55,0,,,85,67
GR000016716,"HELLINIKON, GR",14-09-55,0,,,81,68
GR000016716,"HELLINIKON, GR",15-09-55,0,,,83,68
GR000016716,"HELLINIKON, GR",16-09-55,0,,,85,73
GR000016716,"HELLINIKON, GR",17-09-55,0,,,84,69
GR000016716,"HELLINIKON, GR",18-09-55,0,,,81,64
GR000016716,"HELLINIKON, GR",19-09-55,0,,,80,62
GR000016716,"HELLINIKON, GR",20-09-55,0,,,82,62
GR000016716,"HELLINIKON, GR",21-09-55,0,,,85,68
GR000016716,"HELLINIKON, GR",22-09-55,0,,,82,64
GR000016716,"HELLINIKON, GR",23-09-55,0.11,,,80,63
GR000016716,"HELLINIKON, GR",24-09-55,0.06,,,79,67
GR000016716,"HELLINIKON, GR",25-09-55,0,,,82,65
GR000016716,"HELLINIKON, GR",26-09-55,0,,,83,64
GR000016716,"HELLINIKON, GR",27-09-55,0,,,79,66
GR000016716,"HELLINIKON, GR",28-09-55,0.03,,,78,63
GR000016716,"HELLINIKON, GR",29-09-55,0.17,,,82,64
GR000016716,"HELLINIKON, GR",30-09-55,0,,,82,66
GR000016716,"HELLINIKON, GR",01-10-55,0.51,,,75,66
GR000016716,"HELLINIKON, GR",02-10-55,0.22,,,77,61
GR000016716,"HELLINIKON, GR",03-10-55,0.98,,,75,58
GR000016716,"HELLINIKON, GR",04-10-55,0,,,79,59
GR000016716,"HELLINIKON, GR",05-10-55,0,,,80,60
GR000016716,"HELLINIKON, GR",06-10-55,0,,,80,59
GR000016716,"HELLINIKON, GR",07-10-55,0.7,,,76,63
GR000016716,"HELLINIKON, GR",08-10-55,1.59,,,75,64
GR000016716,"HELLINIKON, GR",09-10-55,0.32,,,70,60
GR000016716,"HELLINIKON, GR",10-10-55,1.68,,,78,60
GR000016716,"HELLINIKON, GR",11-10-55,0.03,,,76,59
GR000016716,"HELLINIKON, GR",12-10-55,0.56,,,78,58
GR000016716,"HELLINIKON, GR",13-10-55,0.58,,,73,59
GR000016716,"HELLINIKON, GR",14-10-55,1.54,,,73,59
GR000016716,"HELLINIKON, GR",15-10-55,0.03,,,74,58
GR000016716,"HELLINIKON, GR",16-10-55,0,,,75,56
GR000016716,"HELLINIKON, GR",17-10-55,0,,,78,56
GR000016716,"HELLINIKON, GR",18-10-55,0,,,79,59
GR000016716,"HELLINIKON, GR",19-10-55,0,,,81,70
GR000016716,"HELLINIKON, GR",20-10-55,0,,,84,64
GR000016716,"HELLINIKON, GR",21-10-55,0,,,83,63
GR000016716,"HELLINIKON, GR",22-10-55,0,,,79,63
GR000016716,"HELLINIKON, GR",23-10-55,0,,,82,61
GR000016716,"HELLINIKON, GR",24-10-55,0,,,81,60
GR000016716,"HELLINIKON, GR",25-10-55,0,,,81,65
GR000016716,"HELLINIKON, GR",26-10-55,0,,,76,61
GR000016716,"HELLINIKON, GR",27-10-55,0.15,,,69,58
GR000016716,"HELLINIKON, GR",28-10-55,0,,,73,53
GR000016716,"HELLINIKON, GR",29-10-55,0,,,76,54
GR000016716,"HELLINIKON, GR",30-10-55,0,,,77,64
GR000016716,"HELLINIKON, GR",31-10-55,0.19,,,74,63
GR000016716,"HELLINIKON, GR",01-11-55,0,,,81,64
GR000016716,"HELLINIKON, GR",02-11-55,0,,,79,63
GR000016716,"HELLINIKON, GR",03-11-55,0.57,,,71,60
GR000016716,"HELLINIKON, GR",04-11-55,0.08,,,67,60
GR000016716,"HELLINIKON, GR",05-11-55,0,,,72,58
GR000016716,"HELLINIKON, GR",06-11-55,0,,,73,62
GR000016716,"HELLINIKON, GR",07-11-55,0,,,69,57
GR000016716,"HELLINIKON, GR",08-11-55,0,,,67,56
GR000016716,"HELLINIKON, GR",09-11-55,0,,,67,51
GR000016716,"HELLINIKON, GR",10-11-55,0,,,66,56
GR000016716,"HELLINIKON, GR",11-11-55,0,,,68,53
GR000016716,"HELLINIKON, GR",12-11-55,0,,,66,56
GR000016716,"HELLINIKON, GR",13-11-55,0,,,69,54
GR000016716,"HELLINIKON, GR",14-11-55,0,,,70,55
GR000016716,"HELLINIKON, GR",15-11-55,0.46,,,72,57
GR000016716,"HELLINIKON, GR",16-11-55,0.19,,,70,59
GR000016716,"HELLINIKON, GR",17-11-55,0.88,,,66,54
GR000016716,"HELLINIKON, GR",18-11-55,1.02,,,75,55
GR000016716,"HELLINIKON, GR",19-11-55,0,,,72,53
GR000016716,"HELLINIKON, GR",20-11-55,0,,,61,56
GR000016716,"HELLINIKON, GR",21-11-55,0.02,,,68,56
GR000016716,"HELLINIKON, GR",22-11-55,0,,,62,47
GR000016716,"HELLINIKON, GR",23-11-55,0.02,,,57,44
GR000016716,"HELLINIKON, GR",24-11-55,0,,,67,45
GR000016716,"HELLINIKON, GR",25-11-55,0.12,,,73,57
GR000016716,"HELLINIKON, GR",26-11-55,0.03,,,63,51
GR000016716,"HELLINIKON, GR",27-11-55,0,,,52,45
GR000016716,"HELLINIKON, GR",28-11-55,0,,,53,42
GR000016716,"HELLINIKON, GR",29-11-55,0,,,57,38
GR000016716,"HELLINIKON, GR",30-11-55,0,,,56,45
GR000016716,"HELLINIKON, GR",01-12-55,0,,,55,47
GR000016716,"HELLINIKON, GR",02-12-55,0,,,63,42
GR000016716,"HELLINIKON, GR",03-12-55,0,,,64,40
GR000016716,"HELLINIKON, GR",04-12-55,0,,,67,42
GR000016716,"HELLINIKON, GR",05-12-55,0,,,62,46
GR000016716,"HELLINIKON, GR",06-12-55,0,,,53,45
GR000016716,"HELLINIKON, GR",07-12-55,0,,,63,38
GR000016716,"HELLINIKON, GR",08-12-55,0,,,68,42
GR000016716,"HELLINIKON, GR",09-12-55,0,,,69,47
GR000016716,"HELLINIKON, GR",10-12-55,0,,,60,46
GR000016716,"HELLINIKON, GR",11-12-55,0,,,67,48
GR000016716,"HELLINIKON, GR",12-12-55,0,,,71,51
GR000016716,"HELLINIKON, GR",13-12-55,0,,,67,49
GR000016716,"HELLINIKON, GR",14-12-55,0,,,59,48
GR000016716,"HELLINIKON, GR",15-12-55,0.01,,,62,49
GR000016716,"HELLINIKON, GR",16-12-55,0,,,66,56
GR000016716,"HELLINIKON, GR",17-12-55,0,,,71,58
GR000016716,"HELLINIKON, GR",18-12-55,0,,,72,52
GR000016716,"HELLINIKON, GR",19-12-55,0,,,70,49
GR000016716,"HELLINIKON, GR",20-12-55,0,,,65,58
GR000016716,"HELLINIKON, GR",21-12-55,0,,,69,58
GR000016716,"HELLINIKON, GR",22-12-55,0,,,65,50
GR000016716,"HELLINIKON, GR",23-12-55,0.14,,,65,52
GR000016716,"HELLINIKON, GR",24-12-55,0,,,63,53
GR000016716,"HELLINIKON, GR",25-12-55,0,,,57,50
GR000016716,"HELLINIKON, GR",26-12-55,0,,,58,48
GR000016716,"HELLINIKON, GR",27-12-55,0,,,53,48
GR000016716,"HELLINIKON, GR",28-12-55,0.06,,,50,45
GR000016716,"HELLINIKON, GR",29-12-55,0,,,51,45
GR000016716,"HELLINIKON, GR",30-12-55,0,,,61,36
GR000016716,"HELLINIKON, GR",31-12-55,0,,,70,43
GR000016716,"HELLINIKON, GR",01-01-56,0,,,65,58
GR000016716,"HELLINIKON, GR",02-01-56,0,,,63,53
GR000016716,"HELLINIKON, GR",03-01-56,0,,,62,46
GR000016716,"HELLINIKON, GR",04-01-56,0,,,59,47
GR000016716,"HELLINIKON, GR",05-01-56,0,,,52,43
GR000016716,"HELLINIKON, GR",06-01-56,0,,,48,42
GR000016716,"HELLINIKON, GR",07-01-56,0.1,,,51,45
GR000016716,"HELLINIKON, GR",08-01-56,0,,,59,42
GR000016716,"HELLINIKON, GR",09-01-56,0,,,59,42
GR000016716,"HELLINIKON, GR",10-01-56,0.22,,,54,41
GR000016716,"HELLINIKON, GR",11-01-56,0,,,61,47
GR000016716,"HELLINIKON, GR",12-01-56,0,,,62,42
GR000016716,"HELLINIKON, GR",13-01-56,0,,,64,40
GR000016716,"HELLINIKON, GR",14-01-56,0,,,65,42
GR000016716,"HELLINIKON, GR",15-01-56,0,,,60,40
GR000016716,"HELLINIKON, GR",16-01-56,0,,,63,40
GR000016716,"HELLINIKON, GR",17-01-56,0,,,64,49
GR000016716,"HELLINIKON, GR",18-01-56,0,,,66,49
GR000016716,"HELLINIKON, GR",19-01-56,0,,,68,52
GR000016716,"HELLINIKON, GR",20-01-56,0,,,67,59
GR000016716,"HELLINIKON, GR",21-01-56,0,,,68,47
GR000016716,"HELLINIKON, GR",22-01-56,0,,,64,47
GR000016716,"HELLINIKON, GR",23-01-56,0,,,69,48
GR000016716,"HELLINIKON, GR",24-01-56,0,,,68,45
GR000016716,"HELLINIKON, GR",25-01-56,0,,,65,49
GR000016716,"HELLINIKON, GR",26-01-56,0.17,,,60,45
GR000016716,"HELLINIKON, GR",27-01-56,0,,,47,38
GR000016716,"HELLINIKON, GR",28-01-56,0,,,47,38
GR000016716,"HELLINIKON, GR",29-01-56,0.13,,,44,37
GR000016716,"HELLINIKON, GR",30-01-56,0,,,47,31
GR000016716,"HELLINIKON, GR",31-01-56,0.1,,,52,40
GR000016716,"HELLINIKON, GR",01-02-56,0.31,,,63,41
GR000016716,"HELLINIKON, GR",02-02-56,0.22,,,59,45
GR000016716,"HELLINIKON, GR",03-02-56,0.26,,,59,39
GR000016716,"HELLINIKON, GR",04-02-56,0,,,43,37
GR000016716,"HELLINIKON, GR",05-02-56,0,,,42,37
GR000016716,"HELLINIKON, GR",06-02-56,0,,,39,35
GR000016716,"HELLINIKON, GR",07-02-56,0,,,41,33
GR000016716,"HELLINIKON, GR",08-02-56,0.09,,,40,31
GR000016716,"HELLINIKON, GR",09-02-56,0,,,49,28
GR000016716,"HELLINIKON, GR",10-02-56,0.05,,,58,38
GR000016716,"HELLINIKON, GR",11-02-56,0,,,60,49
GR000016716,"HELLINIKON, GR",12-02-56,0,,,64,56
GR000016716,"HELLINIKON, GR",13-02-56,0.03,,,64,56
GR000016716,"HELLINIKON, GR",14-02-56,0,,,61,50
GR000016716,"HELLINIKON, GR",15-02-56,0,,,61,48
GR000016716,"HELLINIKON, GR",16-02-56,0,,,61,42
GR000016716,"HELLINIKON, GR",17-02-56,0.05,,,59,49
GR000016716,"HELLINIKON, GR",18-02-56,0.2,,,61,50
GR000016716,"HELLINIKON, GR",19-02-56,0.63,,,64,53
GR000016716,"HELLINIKON, GR",20-02-56,0,,,64,45
GR000016716,"HELLINIKON, GR",21-02-56,0,,,64,43
GR000016716,"HELLINIKON, GR",22-02-56,0,,,62,42
GR000016716,"HELLINIKON, GR",23-02-56,0,,,62,39
GR000016716,"HELLINIKON, GR",24-02-56,0,,,64,42
GR000016716,"HELLINIKON, GR",25-02-56,0,,,63,45
GR000016716,"HELLINIKON, GR",26-02-56,0,,,66,53
GR000016716,"HELLINIKON, GR",27-02-56,0,,,60,49
GR000016716,"HELLINIKON, GR",28-02-56,0,,,56,47
GR000016716,"HELLINIKON, GR",29-02-56,0.27,,,59,39
GR000016716,"HELLINIKON, GR",01-03-56,0.02,,,57,43
GR000016716,"HELLINIKON, GR",02-03-56,0,,,53,40
GR000016716,"HELLINIKON, GR",03-03-56,0,,,62,38
GR000016716,"HELLINIKON, GR",04-03-56,0,,,69,46
GR000016716,"HELLINIKON, GR",05-03-56,0,,,66,48
