,index,DATE,STATION,NAME,NEWDATE,PRCP,SNWD,TAVG_x,TMAX,TMIN,MONTH,YEAR,30YAVG,MM_DD,MM,DAY,TAVG_y,
26,6966,27-01-74,GR000016716,"HELLINIKON, GR",27-01-74,0,,10,13,8,1,1974,9.3,Jan-27,Jan,27,10.65384615,FALSE
27,6967,28-01-74,GR000016716,"HELLINIKON, GR",28-01-74,0,,9,12,8,1,1974,9.1,Jan-28,Jan,28,10.23076923,FALSE
28,6968,29-01-74,GR000016716,"HELLINIKON, GR",29-01-74,0,,9,13,7,1,1974,9,Jan-29,Jan,29,9.961538462,FALSE
29,6969,30-01-74,GR000016716,"HELLINIKON, GR",30-01-74,0,,8,12,5,1,1974,8.9,Jan-30,Jan,30,9.923076923,FALSE
30,6970,31-01-74,GR000016716,"HELLINIKON, GR",31-01-74,0,,8,11,8,1,1974,8.8,Jan-31,Jan,31,9.346153846,FALSE
31,6971,01-02-74,GR000016716,"HELLINIKON, GR",01-02-74,0,,7,12,2,2,1974,8.6,02-Jan,Feb,1,9.192307692,FALSE
32,6972,02-02-74,GR000016716,"HELLINIKON, GR",02-02-74,0,,9,13,4,2,1974,8.5,02-Feb,Feb,2,9.115384615,FALSE
33,6973,03-02-74,GR000016716,"HELLINIKON, GR",03-02-74,0,,11,16,7,2,1974,8.5,02-Mar,Feb,3,9.461538462,TRUE
34,6974,04-02-74,GR000016716,"HELLINIKON, GR",04-02-74,0,,13,16,8,2,1974,8.6,02-Apr,Feb,4,9.538461538,TRUE
35,6975,05-02-74,GR000016716,"HELLINIKON, GR",05-02-74,4,,13,16,10,2,1974,8.7,02-May,Feb,5,9.846153846,TRUE
36,6976,06-02-74,GR000016716,"HELLINIKON, GR",06-02-74,0,,13,16,11,2,1974,8.9,02-Jun,Feb,6,9.846153846,TRUE
37,6977,07-02-74,GR000016716,"HELLINIKON, GR",07-02-74,0,,14,16,12,2,1974,9,02-Jul,Feb,7,10.23076923,TRUE
38,6978,08-02-74,GR000016716,"HELLINIKON, GR",08-02-74,9,,11,16,8,2,1974,9.1,02-Aug,Feb,8,9.5,TRUE
39,6979,09-02-74,GR000016716,"HELLINIKON, GR",09-02-74,1,,8,11,7,2,1974,9.1,02-Sep,Feb,9,9.384615385,FALSE
40,6980,10-02-74,GR000016716,"HELLINIKON, GR",10-02-74,0,,9,15,3,2,1974,9,02-Oct,Feb,10,10.19230769,FALSE
41,6981,11-02-74,GR000016716,"HELLINIKON, GR",11-02-74,0,,11,17,4,2,1974,9.1,02-Nov,Feb,11,10.76923077,TRUE
42,6982,12-02-74,GR000016716,"HELLINIKON, GR",12-02-74,0,,11,16,6,2,1974,9.2,02-Dec,Feb,12,11.15384615,FALSE
43,6983,13-02-74,GR000016716,"HELLINIKON, GR",13-02-74,0,,12,16,7,2,1974,9.4,Feb-13,Feb,13,11.30769231,TRUE
44,6984,14-02-74,GR000016716,"HELLINIKON, GR",14-02-74,0,,16,18,13,2,1974,9.8,Feb-14,Feb,14,10.96153846,TRUE
45,6985,15-02-74,GR000016716,"HELLINIKON, GR",15-02-74,0,,16,17,15,2,1974,10.1,Feb-15,Feb,15,10.34615385,TRUE
46,6986,16-02-74,GR000016716,"HELLINIKON, GR",16-02-74,7,,13,16,10,2,1974,10.3,Feb-16,Feb,16,10.5,TRUE
47,6987,17-02-74,GR000016716,"HELLINIKON, GR",17-02-74,3,,13,17,11,2,1974,10.5,Feb-17,Feb,17,10.69230769,TRUE
48,6988,18-02-74,GR000016716,"HELLINIKON, GR",18-02-74,0,,13,17,11,2,1974,10.7,Feb-18,Feb,18,10.11538462,TRUE
49,6989,19-02-74,GR000016716,"HELLINIKON, GR",19-02-74,0,,14,17,10,2,1974,10.9,Feb-19,Feb,19,9.461538462,TRUE
50,6990,20-02-74,GR000016716,"HELLINIKON, GR",20-02-74,4,,14,16,10,2,1974,11,Feb-20,Feb,20,9.615384615,TRUE
51,6991,21-02-74,GR000016716,"HELLINIKON, GR",21-02-74,0,,13,17,9,2,1974,11.2,Feb-21,Feb,21,9.884615385,TRUE
52,6992,22-02-74,GR000016716,"HELLINIKON, GR",22-02-74,0,,12,16,9,2,1974,11.3,Feb-22,Feb,22,10,TRUE
53,6993,23-02-74,GR000016716,"HELLINIKON, GR",23-02-74,2,,12,14,11,2,1974,11.4,Feb-23,Feb,23,9.538461538,TRUE
54,6994,24-02-74,GR000016716,"HELLINIKON, GR",24-02-74,48,,9,12,9,2,1974,11.4,Feb-24,Feb,24,9.538461538,FALSE
55,6995,25-02-74,GR000016716,"HELLINIKON, GR",25-02-74,0,,9,11,8,2,1974,11.3,Feb-25,Feb,25,9.5,FALSE
56,6996,26-02-74,GR000016716,"HELLINIKON, GR",26-02-74,0,,8,9,6,2,1974,11.3,Feb-26,Feb,26,9.807692308,FALSE
57,6997,27-02-74,GR000016716,"HELLINIKON, GR",27-02-74,0,,7,8,6,2,1974,11.2,Feb-27,Feb,27,10,FALSE
58,6998,28-02-74,GR000016716,"HELLINIKON, GR",28-02-74,0,,7,7,6,2,1974,11.1,Feb-28,Feb,28,9.884615385,FALSE
59,6999,01-03-74,GR000016716,"HELLINIKON, GR",01-03-74,0,,7,9,6,3,1974,11.1,03-Jan,Mar,1,10.15384615,FALSE
60,7000,02-03-74,GR000016716,"HELLINIKON, GR",02-03-74,0,,8,11,6,3,1974,11.1,03-Feb,Mar,2,10.96153846,FALSE
61,7001,03-03-74,GR000016716,"HELLINIKON, GR",03-03-74,0,,10,13,6,3,1974,11.2,03-Mar,Mar,3,11.84615385,FALSE
62,7002,04-03-74,GR000016716,"HELLINIKON, GR",04-03-74,4,,11,12,10,3,1974,11.3,03-Apr,Mar,4,11.53846154,FALSE
63,7003,05-03-74,GR000016716,"HELLINIKON, GR",05-03-74,1,,12,13,11,3,1974,11.3,03-May,Mar,5,11,TRUE
64,7004,06-03-74,GR000016716,"HELLINIKON, GR",06-03-74,3,,13,16,11,3,1974,11.3,03-Jun,Mar,6,10.57692308,TRUE
65,7005,07-03-74,GR000016716,"HELLINIKON, GR",07-03-74,0,,11,14,7,3,1974,11.2,03-Jul,Mar,7,10.53846154,TRUE
66,7006,08-03-74,GR000016716,"HELLINIKON, GR",08-03-74,0,,11,14,6,3,1974,11.2,03-Aug,Mar,8,10.80769231,TRUE
67,7007,09-03-74,GR000016716,"HELLINIKON, GR",09-03-74,0,,12,15,8,3,1974,11.1,03-Sep,Mar,9,10.53846154,TRUE
68,7008,10-03-74,GR000016716,"HELLINIKON, GR",10-03-74,9,,10,12,8,3,1974,11.1,03-Oct,Mar,10,10.53846154,FALSE
69,7009,11-03-74,GR000016716,"HELLINIKON, GR",11-03-74,0,,10,12,8,3,1974,11.1,03-Nov,Mar,11,10.15384615,FALSE
70,7010,12-03-74,GR000016716,"HELLINIKON, GR",12-03-74,0,,10,12,9,3,1974,11.2,03-Dec,Mar,12,10.23076923,FALSE
71,7011,13-03-74,GR000016716,"HELLINIKON, GR",13-03-74,0,,9,12,8,3,1974,11.1,Mar-13,Mar,13,10.46153846,FALSE
72,7012,14-03-74,GR000016716,"HELLINIKON, GR",14-03-74,35,,8,9,7,3,1974,11,Mar-14,Mar,14,11.30769231,FALSE
73,7013,15-03-74,GR000016716,"HELLINIKON, GR",15-03-74,7,,11,16,6,3,1974,11,Mar-15,Mar,15,11.34615385,FALSE
74,7014,16-03-74,GR000016716,"HELLINIKON, GR",16-03-74,0,,11,15,8,3,1974,10.8,Mar-16,Mar,16,11.38461538,FALSE
75,7015,17-03-74,GR000016716,"HELLINIKON, GR",17-03-74,0,,12,16,10,3,1974,10.7,Mar-17,Mar,17,11.30769231,TRUE
76,7016,18-03-74,GR000016716,"HELLINIKON, GR",18-03-74,0,,12,18,7,3,1974,10.6,Mar-18,Mar,18,11.5,TRUE
77,7017,19-03-74,GR000016716,"HELLINIKON, GR",19-03-74,0,,13,18,8,3,1974,10.6,Mar-19,Mar,19,12,TRUE
78,7018,20-03-74,GR000016716,"HELLINIKON, GR",20-03-74,0,,15,19,9,3,1974,10.7,Mar-20,Mar,20,12.34615385,TRUE
79,7019,21-03-74,GR000016716,"HELLINIKON, GR",21-03-74,0,,17,24,9,3,1974,10.8,Mar-21,Mar,21,12.26923077,TRUE
80,7020,22-03-74,GR000016716,"HELLINIKON, GR",22-03-74,0,,18,23,12,3,1974,10.9,Mar-22,Mar,22,12.46153846,TRUE
81,7021,23-03-74,GR000016716,"HELLINIKON, GR",23-03-74,0,,15,20,12,3,1974,11,Mar-23,Mar,23,12.46153846,TRUE
82,7022,24-03-74,GR000016716,"HELLINIKON, GR",24-03-74,0,,18,22,12,3,1974,11.2,Mar-24,Mar,24,12.57692308,TRUE
83,7023,25-03-74,GR000016716,"HELLINIKON, GR",25-03-74,0,,16,19,12,3,1974,11.3,Mar-25,Mar,25,12.69230769,TRUE
84,7024,26-03-74,GR000016716,"HELLINIKON, GR",26-03-74,0,,13,17,9,3,1974,11.5,Mar-26,Mar,26,13.19230769,FALSE
85,7025,27-03-74,GR000016716,"HELLINIKON, GR",27-03-74,0,,13,16,8,3,1974,11.6,Mar-27,Mar,27,13.61538462,FALSE
86,7026,28-03-74,GR000016716,"HELLINIKON, GR",28-03-74,0,,14,18,11,3,1974,11.8,Mar-28,Mar,28,13.46153846,TRUE
87,7027,29-03-74,GR000016716,"HELLINIKON, GR",29-03-74,0,,14,18,12,3,1974,12,Mar-29,Mar,29,13.53846154,TRUE
88,7028,30-03-74,GR000016716,"HELLINIKON, GR",30-03-74,0,,11,13,9,3,1974,12.2,Mar-30,Mar,30,13.69230769,FALSE
89,7029,31-03-74,GR000016716,"HELLINIKON, GR",31-03-74,0,,12,16,7,3,1974,12.3,Mar-31,Mar,31,13.57692308,FALSE
90,7030,01-04-74,GR000016716,"HELLINIKON, GR",01-04-74,1,,12,16,11,4,1974,12.5,04-Jan,Apr,1,13.19230769,FALSE
91,7031,02-04-74,GR000016716,"HELLINIKON, GR",02-04-74,0,,11,14,9,4,1974,12.5,04-Feb,Apr,2,13.88461538,FALSE
92,7032,03-04-74,GR000016716,"HELLINIKON, GR",03-04-74,0,,11,14,8,4,1974,12.5,04-Mar,Apr,3,14.07692308,FALSE
93,7033,04-04-74,GR000016716,"HELLINIKON, GR",04-04-74,0,,11,15,6,4,1974,12.5,04-Apr,Apr,4,14,FALSE
94,7034,05-04-74,GR000016716,"HELLINIKON, GR",05-04-74,0,,12,16,9,4,1974,12.4,04-May,Apr,5,14.38461538,FALSE
95,7035,06-04-74,GR000016716,"HELLINIKON, GR",06-04-74,0,,12,14,11,4,1974,12.5,04-Jun,Apr,6,14.84615385,FALSE
96,7036,07-04-74,GR000016716,"HELLINIKON, GR",07-04-74,1,,11,14,9,4,1974,12.5,04-Jul,Apr,7,14.73076923,FALSE
97,7037,08-04-74,GR000016716,"HELLINIKON, GR",08-04-74,0,,13,17,8,4,1974,12.5,04-Aug,Apr,8,14.80769231,FALSE
98,7038,09-04-74,GR000016716,"HELLINIKON, GR",09-04-74,0,,13,17,10,4,1974,12.6,04-Sep,Apr,9,15.11538462,FALSE
99,7039,10-04-74,GR000016716,"HELLINIKON, GR",10-04-74,0,,13,16,8,4,1974,12.7,04-Oct,Apr,10,15.11538462,FALSE
100,7040,11-04-74,GR000016716,"HELLINIKON, GR",11-04-74,1,,14,15,11,4,1974,12.8,04-Nov,Apr,11,15.07692308,FALSE
101,7041,12-04-74,GR000016716,"HELLINIKON, GR",12-04-74,3,,15,18,12,4,1974,13,04-Dec,Apr,12,14.84615385,TRUE
102,7042,13-04-74,GR000016716,"HELLINIKON, GR",13-04-74,0,,16,18,12,4,1974,13.3,Apr-13,Apr,13,14.5,TRUE
103,7043,14-04-74,GR000016716,"HELLINIKON, GR",14-04-74,0,,16,19,12,4,1974,13.5,Apr-14,Apr,14,14.42307692,TRUE
104,7044,15-04-74,GR000016716,"HELLINIKON, GR",15-04-74,0,,16,19,14,4,1974,13.6,Apr-15,Apr,15,14.69230769,TRUE
105,7045,16-04-74,GR000016716,"HELLINIKON, GR",16-04-74,0,,16,20,12,4,1974,13.8,Apr-16,Apr,16,14.38461538,TRUE
106,7046,17-04-74,GR000016716,"HELLINIKON, GR",17-04-74,0,,16,20,14,4,1974,13.9,Apr-17,Apr,17,14.88461538,TRUE
107,7047,18-04-74,GR000016716,"HELLINIKON, GR",18-04-74,0,,14,19,11,4,1974,13.9,Apr-18,Apr,18,14.92307692,FALSE
108,7048,19-04-74,GR000016716,"HELLINIKON, GR",19-04-74,0,,15,19,11,4,1974,13.9,Apr-19,Apr,19,15.11538462,FALSE
109,7049,20-04-74,GR000016716,"HELLINIKON, GR",20-04-74,0,,14,18,9,4,1974,13.8,Apr-20,Apr,20,14.88461538,FALSE
110,7050,21-04-74,GR000016716,"HELLINIKON, GR",21-04-74,0,,14,18,9,4,1974,13.7,Apr-21,Apr,21,15,FALSE
111,7051,22-04-74,GR000016716,"HELLINIKON, GR",22-04-74,0,,14,18,12,4,1974,13.7,Apr-22,Apr,22,14.96153846,FALSE
112,7052,23-04-74,GR000016716,"HELLINIKON, GR",23-04-74,0,,15,19,10,4,1974,13.6,Apr-23,Apr,23,15.42307692,FALSE
113,7053,24-04-74,GR000016716,"HELLINIKON, GR",24-04-74,0,,14,18,11,4,1974,13.5,Apr-24,Apr,24,15.88461538,FALSE
114,7054,25-04-74,GR000016716,"HELLINIKON, GR",25-04-74,0,,16,18,12,4,1974,13.6,Apr-25,Apr,25,16.07692308,FALSE
115,7055,26-04-74,GR000016716,"HELLINIKON, GR",26-04-74,0,,17,21,13,4,1974,13.7,Apr-26,Apr,26,16.11538462,TRUE
116,7056,27-04-74,GR000016716,"HELLINIKON, GR",27-04-74,0,,17,22,12,4,1974,13.8,Apr-27,Apr,27,16.73076923,TRUE
117,7057,28-04-74,GR000016716,"HELLINIKON, GR",28-04-74,1,,16,19,12,4,1974,13.9,Apr-28,Apr,28,16.65384615,FALSE
118,7058,29-04-74,GR000016716,"HELLINIKON, GR",29-04-74,0,,17,22,12,4,1974,14.1,Apr-29,Apr,29,16.61538462,TRUE
119,7059,30-04-74,GR000016716,"HELLINIKON, GR",30-04-74,0,,18,23,13,4,1974,14.3,Apr-30,Apr,30,16.53846154,TRUE
120,7060,01-05-74,GR000016716,"HELLINIKON, GR",01-05-74,0,,18,22,16,5,1974,14.5,05-Jan,May,1,16.92307692,TRUE
121,7061,02-05-74,GR000016716,"HELLINIKON, GR",02-05-74,0,,18,21,16,5,1974,14.7,05-Feb,May,2,17.30769231,TRUE
122,7062,03-05-74,GR000016716,"HELLINIKON, GR",03-05-74,0,,18,22,15,5,1974,15,05-Mar,May,3,17.15384615,TRUE
123,7063,04-05-74,GR000016716,"HELLINIKON, GR",04-05-74,0,,17,19,14,5,1974,15.2,05-Apr,May,4,17.53846154,FALSE
124,7064,05-05-74,GR000016716,"HELLINIKON, GR",05-05-74,0,,19,23,14,5,1974,15.4,05-May,May,5,18.34615385,TRUE
125,7065,06-05-74,GR000016716,"HELLINIKON, GR",06-05-74,0,,18,22,15,5,1974,15.6,05-Jun,May,6,18.23076923,FALSE
126,7066,07-05-74,GR000016716,"HELLINIKON, GR",07-05-74,0,,18,22,16,5,1974,15.8,05-Jul,May,7,17.88461538,TRUE
127,7067,08-05-74,GR000016716,"HELLINIKON, GR",08-05-74,0,,17,21,13,5,1974,16,05-Aug,May,8,18.46153846,FALSE
128,7068,09-05-74,GR000016716,"HELLINIKON, GR",09-05-74,0,,18,23,13,5,1974,16.1,05-Sep,May,9,18.11538462,FALSE
129,7069,10-05-74,GR000016716,"HELLINIKON, GR",10-05-74,0,,17,21,15,5,1974,16.3,05-Oct,May,10,18.42307692,FALSE
130,7070,11-05-74,GR000016716,"HELLINIKON, GR",11-05-74,0,,18,23,13,5,1974,16.4,05-Nov,May,11,18.73076923,FALSE
131,7071,12-05-74,GR000016716,"HELLINIKON, GR",12-05-74,0,,18,22,13,5,1974,16.5,05-Dec,May,12,18.80769231,FALSE
132,7072,13-05-74,GR000016716,"HELLINIKON, GR",13-05-74,0,,18,22,13,5,1974,16.6,May-13,May,13,19.07692308,FALSE
133,7073,14-05-74,GR000016716,"HELLINIKON, GR",14-05-74,0,,19,25,16,5,1974,16.7,May-14,May,14,19.03846154,FALSE
134,7074,15-05-74,GR000016716,"HELLINIKON, GR",15-05-74,0,,18,22,14,5,1974,16.7,May-15,May,15,19.11538462,FALSE
135,7075,16-05-74,GR000016716,"HELLINIKON, GR",16-05-74,0,,19,22,16,5,1974,16.8,May-16,May,16,19.46153846,FALSE
136,7076,17-05-74,GR000016716,"HELLINIKON, GR",17-05-74,0,,19,22,17,5,1974,16.9,May-17,May,17,19.76923077,FALSE
137,7077,18-05-74,GR000016716,"HELLINIKON, GR",18-05-74,4,,18,20,16,5,1974,17.1,May-18,May,18,19.92307692,FALSE
138,7078,19-05-74,GR000016716,"HELLINIKON, GR",19-05-74,0,,17,22,16,5,1974,17.1,May-19,May,19,20.26923077,FALSE
139,7079,20-05-74,GR000016716,"HELLINIKON, GR",20-05-74,11,,16,19,14,5,1974,17.2,May-20,May,20,20.69230769,FALSE
140,7080,21-05-74,GR000016716,"HELLINIKON, GR",21-05-74,0,,21,26,14,5,1974,17.4,May-21,May,21,21,FALSE
141,7081,22-05-74,GR000016716,"HELLINIKON, GR",22-05-74,0,,19,23,14,5,1974,17.6,May-22,May,22,21.11538462,FALSE
142,7082,23-05-74,GR000016716,"HELLINIKON, GR",23-05-74,0,,21,24,16,5,1974,17.8,May-23,May,23,21.26923077,FALSE
143,7083,24-05-74,GR000016716,"HELLINIKON, GR",24-05-74,0,,21,23,17,5,1974,18,May-24,May,24,20.73076923,TRUE
144,7084,25-05-74,GR000016716,"HELLINIKON, GR",25-05-74,0,,21,24,17,5,1974,18.2,May-25,May,25,20.84615385,TRUE
145,7085,26-05-74,GR000016716,"HELLINIKON, GR",26-05-74,0,,22,28,17,5,1974,18.4,May-26,May,26,21.19230769,TRUE
146,7086,27-05-74,GR000016716,"HELLINIKON, GR",27-05-74,0,,22,26,19,5,1974,18.5,May-27,May,27,21.07692308,TRUE
147,7087,28-05-74,GR000016716,"HELLINIKON, GR",28-05-74,0,,21,24,17,5,1974,18.7,May-28,May,28,21.61538462,FALSE
148,7088,29-05-74,GR000016716,"HELLINIKON, GR",29-05-74,0,,21,25,17,5,1974,18.8,May-29,May,29,21.42307692,FALSE
149,7089,30-05-74,GR000016716,"HELLINIKON, GR",30-05-74,2,,21,24,17,5,1974,18.9,May-30,May,30,21.57692308,FALSE
150,7090,31-05-74,GR000016716,"HELLINIKON, GR",31-05-74,0,,24,29,19,5,1974,19.1,May-31,May,31,21.88461538,TRUE
151,7091,01-06-74,GR000016716,"HELLINIKON, GR",01-06-74,0,,23,27,17,6,1974,19.3,06-Jan,Jun,1,22,TRUE
152,7092,02-06-74,GR000016716,"HELLINIKON, GR",02-06-74,0,,23,28,20,6,1974,19.5,06-Feb,Jun,2,22.30769231,TRUE
153,7093,03-06-74,GR000016716,"HELLINIKON, GR",03-06-74,0,,22,27,20,6,1974,19.6,06-Mar,Jun,3,22.30769231,FALSE
154,7094,04-06-74,GR000016716,"HELLINIKON, GR",04-06-74,2,,21,24,18,6,1974,19.7,06-Apr,Jun,4,22.46153846,FALSE
155,7095,05-06-74,GR000016716,"HELLINIKON, GR",05-06-74,0,,24,32,18,6,1974,19.9,06-May,Jun,5,22.88461538,TRUE
156,7096,06-06-74,GR000016716,"HELLINIKON, GR",06-06-74,0,,24,28,18,6,1974,20.1,06-Jun,Jun,6,22.92307692,TRUE
157,7097,07-06-74,GR000016716,"HELLINIKON, GR",07-06-74,0,,23,27,19,6,1974,20.3,06-Jul,Jun,7,22.65384615,TRUE
158,7098,08-06-74,GR000016716,"HELLINIKON, GR",08-06-74,0,,25,30,20,6,1974,20.5,06-Aug,Jun,8,22.88461538,TRUE
159,7099,09-06-74,GR000016716,"HELLINIKON, GR",09-06-74,0,,25,29,21,6,1974,20.8,06-Sep,Jun,9,23.5,TRUE
160,7100,10-06-74,GR000016716,"HELLINIKON, GR",10-06-74,0,,23,27,18,6,1974,21,06-Oct,Jun,10,23.76923077,FALSE
161,7101,11-06-74,GR000016716,"HELLINIKON, GR",11-06-74,0,,24,28,19,6,1974,21.2,06-Nov,Jun,11,23.69230769,TRUE
162,7102,12-06-74,GR000016716,"HELLINIKON, GR",12-06-74,0,,22,26,19,6,1974,21.3,06-Dec,Jun,12,24,FALSE
163,7103,13-06-74,GR000016716,"HELLINIKON, GR",13-06-74,0,,21,24,18,6,1974,21.4,Jun-13,Jun,13,24.15384615,FALSE
164,7104,14-06-74,GR000016716,"HELLINIKON, GR",14-06-74,0,,23,26,18,6,1974,21.5,Jun-14,Jun,14,24.46153846,FALSE
165,7105,15-06-74,GR000016716,"HELLINIKON, GR",15-06-74,0,,23,27,19,6,1974,21.7,Jun-15,Jun,15,24.30769231,FALSE
166,7106,16-06-74,GR000016716,"HELLINIKON, GR",16-06-74,0,,23,27,20,6,1974,21.8,Jun-16,Jun,16,24.53846154,FALSE
167,7107,17-06-74,GR000016716,"HELLINIKON, GR",17-06-74,0,,24,29,20,6,1974,22,Jun-17,Jun,17,24.42307692,FALSE
168,7108,18-06-74,GR000016716,"HELLINIKON, GR",18-06-74,0,,24,28,21,6,1974,22.2,Jun-18,Jun,18,24.73076923,FALSE
169,7109,19-06-74,GR000016716,"HELLINIKON, GR",19-06-74,9,,23,29,19,6,1974,22.5,Jun-19,Jun,19,24.53846154,FALSE
170,7110,20-06-74,GR000016716,"HELLINIKON, GR",20-06-74,0,,23,28,18,6,1974,22.5,Jun-20,Jun,20,24.53846154,FALSE
171,7111,21-06-74,GR000016716,"HELLINIKON, GR",21-06-74,0,,24,28,18,6,1974,22.7,Jun-21,Jun,21,24.61538462,FALSE
172,7112,22-06-74,GR000016716,"HELLINIKON, GR",22-06-74,0,,24,28,19,6,1974,22.8,Jun-22,Jun,22,24.84615385,FALSE
173,7113,23-06-74,GR000016716,"HELLINIKON, GR",23-06-74,0,,24,29,20,6,1974,22.9,Jun-23,Jun,23,25.11538462,FALSE
174,7114,24-06-74,GR000016716,"HELLINIKON, GR",24-06-74,0,,26,31,21,6,1974,23.1,Jun-24,Jun,24,25.76923077,TRUE
175,7115,25-06-74,GR000016716,"HELLINIKON, GR",25-06-74,0,,27,33,23,6,1974,23.2,Jun-25,Jun,25,26.30769231,TRUE
176,7116,26-06-74,GR000016716,"HELLINIKON, GR",26-06-74,0,,26,31,22,6,1974,23.4,Jun-26,Jun,26,26.46153846,FALSE
177,7117,27-06-74,GR000016716,"HELLINIKON, GR",27-06-74,0,,26,29,21,6,1974,23.5,Jun-27,Jun,27,25.92307692,TRUE
178,7118,28-06-74,GR000016716,"HELLINIKON, GR",28-06-74,0,,27,32,24,6,1974,23.7,Jun-28,Jun,28,25.96153846,TRUE
179,7119,29-06-74,GR000016716,"HELLINIKON, GR",29-06-74,0,,28,32,24,6,1974,24,Jun-29,Jun,29,26.23076923,TRUE
180,7120,30-06-74,GR000016716,"HELLINIKON, GR",30-06-74,0,,27,32,24,6,1974,24.1,Jun-30,Jun,30,26.57692308,TRUE
181,7121,01-07-74,GR000016716,"HELLINIKON, GR",01-07-74,0,,26,31,23,7,1974,24.2,07-Jan,Jul,1,26.42307692,FALSE
182,7122,02-07-74,GR000016716,"HELLINIKON, GR",02-07-74,0,,26,29,22,7,1974,24.3,07-Feb,Jul,2,26.11538462,FALSE
183,7123,03-07-74,GR000016716,"HELLINIKON, GR",03-07-74,0,,27,33,22,7,1974,24.4,07-Mar,Jul,3,26.57692308,TRUE
