,DATE,STATION,NAME,PRCP,SNWD,TAVG,TMAX,TMIN
20121,2010-02-05,GR000016716,"HELLINIKON, GR",0.0,,8.0,15.0,3.0
20122,2010-02-06,GR000016716,"HELLINIKON, GR",0.0,,12.0,14.0,9.0
20123,2010-02-07,GR000016716,"HELLINIKON, GR",9.9,,12.0,14.0,11.0
20124,2010-02-08,GR000016716,"HELLINIKON, GR",71.1,,9.0,13.0,7.0
20125,2010-02-09,GR000016716,"HELLINIKON, GR",10.2,,9.0,13.0,5.0
20126,2010-02-10,GR000016716,"HELLINIKON, GR",0.0,,14.0,16.0,11.0
20127,2010-02-11,GR000016716,"HELLINIKON, GR",3.0,,14.0,17.0,12.0
20128,2010-02-12,GR000016716,"HELLINIKON, GR",0.0,,14.0,18.0,11.0
20129,2010-02-13,GR000016716,"HELLINIKON, GR",2.0,,13.0,17.0,10.0
20130,2010-02-14,GR000016716,"HELLINIKON, GR",0.0,,11.0,14.0,6.0
20131,2010-02-15,GR000016716,"HELLINIKON, GR",0.5,,14.0,17.0,12.0
20132,2010-02-16,GR000016716,"HELLINIKON, GR",0.0,,12.0,17.0,8.0
20133,2010-02-17,GR000016716,"HELLINIKON, GR",0.5,,15.0,19.0,12.0
20134,2010-02-18,GR000016716,"HELLINIKON, GR",0.0,,15.0,19.0,10.0
20135,2010-02-19,GR000016716,"HELLINIKON, GR",0.0,,16.0,20.0,12.0
20136,2010-02-20,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,16.0
20137,2010-02-21,GR000016716,"HELLINIKON, GR",0.0,,15.0,17.0,13.0
20138,2010-02-22,GR000016716,"HELLINIKON, GR",0.0,,12.0,16.0,7.0
20139,2010-02-23,GR000016716,"HELLINIKON, GR",0.0,,13.0,18.0,8.0
20140,2010-02-24,GR000016716,"HELLINIKON, GR",0.0,,14.0,18.0,9.0
20141,2010-02-25,GR000016716,"HELLINIKON, GR",0.0,,16.0,18.0,13.0
20142,2010-02-26,GR000016716,"HELLINIKON, GR",0.0,,14.0,18.0,10.0
20143,2010-02-27,GR000016716,"HELLINIKON, GR",0.0,,12.0,19.0,9.0
20144,2010-02-28,GR000016716,"HELLINIKON, GR",0.0,,13.0,17.0,9.0
20145,2010-03-01,GR000016716,"HELLINIKON, GR",0.0,,14.0,18.0,11.0
20146,2010-03-02,GR000016716,"HELLINIKON, GR",0.0,,15.0,21.0,7.0
20147,2010-03-03,GR000016716,"HELLINIKON, GR",0.0,,14.0,18.0,11.0
20148,2010-03-04,GR000016716,"HELLINIKON, GR",0.0,,14.0,18.0,11.0
20149,2010-03-05,GR000016716,"HELLINIKON, GR",0.0,,15.0,19.0,10.0
20150,2010-03-06,GR000016716,"HELLINIKON, GR",0.0,,13.0,18.0,9.0
20151,2010-03-07,GR000016716,"HELLINIKON, GR",0.3,,9.0,,
20152,2010-03-08,GR000016716,"HELLINIKON, GR",2.8,,11.0,12.0,8.0
20153,2010-03-09,GR000016716,"HELLINIKON, GR",1.0,,11.0,16.0,8.0
20154,2010-03-10,GR000016716,"HELLINIKON, GR",0.0,,11.0,13.0,10.0
20155,2010-03-11,GR000016716,"HELLINIKON, GR",0.0,,14.0,17.0,10.0
20156,2010-03-12,GR000016716,"HELLINIKON, GR",0.0,,13.0,17.0,8.0
20157,2010-03-13,GR000016716,"HELLINIKON, GR",0.0,,13.0,17.0,10.0
20158,2010-03-14,GR000016716,"HELLINIKON, GR",4.1,,10.0,12.0,8.0
20159,2010-03-15,GR000016716,"HELLINIKON, GR",0.0,,11.0,15.0,6.0
20160,2010-03-16,GR000016716,"HELLINIKON, GR",0.0,,11.0,17.0,4.0
20161,2010-03-17,GR000016716,"HELLINIKON, GR",0.0,,12.0,17.0,6.0
20162,2010-03-18,GR000016716,"HELLINIKON, GR",0.0,,11.0,17.0,7.0
20163,2010-03-19,GR000016716,"HELLINIKON, GR",0.0,,11.0,18.0,5.0
20164,2010-03-20,GR000016716,"HELLINIKON, GR",0.0,,12.0,17.0,6.0
20165,2010-03-21,GR000016716,"HELLINIKON, GR",0.0,,13.0,19.0,8.0
20166,2010-03-22,GR000016716,"HELLINIKON, GR",0.0,,15.0,19.0,10.0
20167,2010-03-23,GR000016716,"HELLINIKON, GR",0.0,,16.0,19.0,11.0
20168,2010-03-24,GR000016716,"HELLINIKON, GR",0.0,,14.0,19.0,11.0
20169,2010-03-25,GR000016716,"HELLINIKON, GR",0.0,,16.0,21.0,9.0
20170,2010-03-26,GR000016716,"HELLINIKON, GR",0.0,,16.0,22.0,11.0
20171,2010-03-27,GR000016716,"HELLINIKON, GR",0.0,,14.0,20.0,8.0
20172,2010-03-28,GR000016716,"HELLINIKON, GR",0.0,,16.0,19.0,13.0
20173,2010-03-29,GR000016716,"HELLINIKON, GR",0.0,,17.0,21.0,13.0
20174,2010-03-30,GR000016716,"HELLINIKON, GR",0.0,,15.0,20.0,9.0
20175,2010-03-31,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,15.0
20176,2010-04-01,GR000016716,"HELLINIKON, GR",0.0,,16.0,21.0,12.0
20177,2010-04-02,GR000016716,"HELLINIKON, GR",0.0,,16.0,21.0,12.0
20178,2010-04-03,GR000016716,"HELLINIKON, GR",0.0,,16.0,21.0,9.0
20179,2010-04-04,GR000016716,"HELLINIKON, GR",0.0,,16.0,22.0,9.0
20180,2010-04-05,GR000016716,"HELLINIKON, GR",0.0,,16.0,21.0,9.0
20181,2010-04-06,GR000016716,"HELLINIKON, GR",0.0,,17.0,20.0,13.0
20182,2010-04-07,GR000016716,"HELLINIKON, GR",0.0,,14.0,21.0,10.0
20183,2010-04-08,GR000016716,"HELLINIKON, GR",0.0,,14.0,20.0,9.0
20184,2010-04-09,GR000016716,"HELLINIKON, GR",0.0,,15.0,20.0,8.0
20185,2010-04-10,GR000016716,"HELLINIKON, GR",0.0,,15.0,20.0,9.0
20186,2010-04-11,GR000016716,"HELLINIKON, GR",0.0,,16.0,21.0,11.0
20187,2010-04-12,GR000016716,"HELLINIKON, GR",0.0,,16.0,20.0,12.0
20188,2010-04-13,GR000016716,"HELLINIKON, GR",0.0,,16.0,20.0,10.0
20189,2010-04-14,GR000016716,"HELLINIKON, GR",0.3,,17.0,21.0,14.0
20190,2010-04-15,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,12.0
20191,2010-04-16,GR000016716,"HELLINIKON, GR",0.0,,19.0,24.0,13.0
20192,2010-04-17,GR000016716,"HELLINIKON, GR",0.0,,20.0,24.0,15.0
20193,2010-04-18,GR000016716,"HELLINIKON, GR",0.0,,18.0,23.0,16.0
20194,2010-04-19,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,15.0
20195,2010-04-20,GR000016716,"HELLINIKON, GR",0.5,,19.0,23.0,16.0
20196,2010-04-21,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,14.0
20197,2010-04-22,GR000016716,"HELLINIKON, GR",0.0,,18.0,23.0,12.0
20198,2010-04-23,GR000016716,"HELLINIKON, GR",0.0,,17.0,23.0,12.0
20199,2010-04-24,GR000016716,"HELLINIKON, GR",0.0,,17.0,21.0,13.0
20200,2010-04-25,GR000016716,"HELLINIKON, GR",0.0,,18.0,23.0,11.0
20201,2010-04-26,GR000016716,"HELLINIKON, GR",0.0,,19.0,22.0,17.0
20202,2010-04-27,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,16.0
20203,2010-04-28,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,12.0
20204,2010-04-29,GR000016716,"HELLINIKON, GR",0.0,,18.0,23.0,13.0
20205,2010-04-30,GR000016716,"HELLINIKON, GR",0.0,,19.0,24.0,15.0
20206,2010-05-01,GR000016716,"HELLINIKON, GR",0.0,,19.0,26.0,13.0
20207,2010-05-02,GR000016716,"HELLINIKON, GR",0.0,,18.0,24.0,12.0
20208,2010-05-03,GR000016716,"HELLINIKON, GR",0.0,,18.0,24.0,13.0
20209,2010-05-04,GR000016716,"HELLINIKON, GR",0.0,,18.0,23.0,12.0
20210,2010-05-05,GR000016716,"HELLINIKON, GR",0.0,,19.0,24.0,14.0
20211,2010-05-06,GR000016716,"HELLINIKON, GR",0.0,,21.0,24.0,14.0
20212,2010-05-07,GR000016716,"HELLINIKON, GR",0.0,,21.0,27.0,16.0
20213,2010-05-08,GR000016716,"HELLINIKON, GR",0.0,,21.0,25.0,16.0
20214,2010-05-09,GR000016716,"HELLINIKON, GR",0.0,,21.0,27.0,14.0
20215,2010-05-10,GR000016716,"HELLINIKON, GR",0.0,,21.0,26.0,16.0
20216,2010-05-11,GR000016716,"HELLINIKON, GR",0.0,,21.0,27.0,15.0
20217,2010-05-12,GR000016716,"HELLINIKON, GR",0.0,,22.0,28.0,15.0
20218,2010-05-13,GR000016716,"HELLINIKON, GR",0.0,,22.0,27.0,17.0
20219,2010-05-14,GR000016716,"HELLINIKON, GR",0.0,,24.0,28.0,18.0
20220,2010-05-15,GR000016716,"HELLINIKON, GR",1.3,,22.0,24.0,20.0
20221,2010-05-16,GR000016716,"HELLINIKON, GR",0.0,,21.0,24.0,18.0
20222,2010-05-17,GR000016716,"HELLINIKON, GR",0.0,,20.0,23.0,17.0
20223,2010-05-18,GR000016716,"HELLINIKON, GR",0.0,,19.0,23.0,17.0
20224,2010-05-19,GR000016716,"HELLINIKON, GR",0.0,,20.0,24.0,18.0
20225,2010-05-20,GR000016716,"HELLINIKON, GR",0.0,,19.0,23.0,14.0
20226,2010-05-21,GR000016716,"HELLINIKON, GR",19.3,,18.0,21.0,16.0
20227,2010-05-22,GR000016716,"HELLINIKON, GR",0.5,,19.0,22.0,16.0
20228,2010-05-23,GR000016716,"HELLINIKON, GR",0.0,,19.0,24.0,13.0
20229,2010-05-24,GR000016716,"HELLINIKON, GR",0.0,,20.0,24.0,15.0
20230,2010-05-25,GR000016716,"HELLINIKON, GR",0.0,,20.0,24.0,16.0
20231,2010-05-26,GR000016716,"HELLINIKON, GR",0.0,,21.0,26.0,16.0
20232,2010-05-27,GR000016716,"HELLINIKON, GR",0.0,,22.0,27.0,16.0
20233,2010-05-28,GR000016716,"HELLINIKON, GR",0.0,,24.0,29.0,18.0
20234,2010-05-29,GR000016716,"HELLINIKON, GR",0.0,,24.0,28.0,19.0
20235,2010-05-30,GR000016716,"HELLINIKON, GR",0.0,,24.0,29.0,20.0
20236,2010-05-31,GR000016716,"HELLINIKON, GR",0.0,,27.0,32.0,22.0
20237,2010-06-01,GR000016716,"HELLINIKON, GR",0.0,,25.0,27.0,23.0
20238,2010-06-02,GR000016716,"HELLINIKON, GR",0.0,,23.0,26.0,20.0
20239,2010-06-03,GR000016716,"HELLINIKON, GR",0.0,,22.0,26.0,19.0
20240,2010-06-04,GR000016716,"HELLINIKON, GR",0.0,,23.0,26.0,18.0
20241,2010-06-05,GR000016716,"HELLINIKON, GR",4.1,,21.0,23.0,19.0
20242,2010-06-06,GR000016716,"HELLINIKON, GR",2.3,,21.0,24.0,18.0
20243,2010-06-07,GR000016716,"HELLINIKON, GR",0.0,,23.0,28.0,17.0
20244,2010-06-08,GR000016716,"HELLINIKON, GR",0.0,,23.0,28.0,17.0
20245,2010-06-09,GR000016716,"HELLINIKON, GR",,,23.0,27.0,18.0
20246,2010-06-10,GR000016716,"HELLINIKON, GR",0.0,,26.0,32.0,18.0
20247,2010-06-11,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,22.0
20248,2010-06-12,GR000016716,"HELLINIKON, GR",0.0,,29.0,36.0,22.0
20249,2010-06-13,GR000016716,"HELLINIKON, GR",0.0,,27.0,31.0,20.0
20250,2010-06-14,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,23.0
20251,2010-06-15,GR000016716,"HELLINIKON, GR",0.0,,28.0,34.0,23.0
20252,2010-06-16,GR000016716,"HELLINIKON, GR",0.0,,29.0,37.0,23.0
20253,2010-06-17,GR000016716,"HELLINIKON, GR",0.0,,29.0,37.0,23.0
20254,2010-06-18,GR000016716,"HELLINIKON, GR",0.0,,29.0,36.0,24.0
20255,2010-06-19,GR000016716,"HELLINIKON, GR",0.0,,27.0,30.0,23.0
20256,2010-06-20,GR000016716,"HELLINIKON, GR",0.0,,27.0,30.0,23.0
20257,2010-06-21,GR000016716,"HELLINIKON, GR",0.0,,26.0,30.0,23.0
20258,2010-06-22,GR000016716,"HELLINIKON, GR",0.0,,24.0,28.0,22.0
20259,2010-06-23,GR000016716,"HELLINIKON, GR",0.0,,24.0,29.0,21.0
20260,2010-06-24,GR000016716,"HELLINIKON, GR",0.0,,23.0,27.0,19.0
20261,2010-06-25,GR000016716,"HELLINIKON, GR",4.6,,23.0,27.0,19.0
20262,2010-06-26,GR000016716,"HELLINIKON, GR",0.0,,24.0,28.0,20.0
20263,2010-06-27,GR000016716,"HELLINIKON, GR",0.0,,24.0,29.0,20.0
20264,2010-06-28,GR000016716,"HELLINIKON, GR",0.5,,24.0,28.0,21.0
20265,2010-06-29,GR000016716,"HELLINIKON, GR",0.0,,25.0,29.0,19.0
20266,2010-06-30,GR000016716,"HELLINIKON, GR",0.0,,26.0,29.0,22.0
20267,2010-07-01,GR000016716,"HELLINIKON, GR",0.0,,26.0,29.0,21.0
20268,2010-07-02,GR000016716,"HELLINIKON, GR",0.0,,27.0,31.0,22.0
20269,2010-07-03,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,23.0
20270,2010-07-04,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,23.0
20271,2010-07-05,GR000016716,"HELLINIKON, GR",0.0,,28.0,34.0,22.0
20272,2010-07-06,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,24.0
20273,2010-07-07,GR000016716,"HELLINIKON, GR",0.0,,29.0,36.0,23.0
20274,2010-07-08,GR000016716,"HELLINIKON, GR",0.0,,26.0,29.0,23.0
20275,2010-07-09,GR000016716,"HELLINIKON, GR",0.0,,26.0,31.0,22.0
20276,2010-07-10,GR000016716,"HELLINIKON, GR",0.0,,27.0,32.0,22.0
20277,2010-07-11,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,22.0
20278,2010-07-12,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,22.0
20279,2010-07-13,GR000016716,"HELLINIKON, GR",0.0,,28.0,32.0,23.0
20280,2010-07-14,GR000016716,"HELLINIKON, GR",0.0,,29.0,34.0,24.0
20281,2010-07-15,GR000016716,"HELLINIKON, GR",0.0,,31.0,36.0,25.0
20282,2010-07-16,GR000016716,"HELLINIKON, GR",0.0,,31.0,34.0,28.0
20283,2010-07-17,GR000016716,"HELLINIKON, GR",0.0,,31.0,36.0,28.0
20284,2010-07-18,GR000016716,"HELLINIKON, GR",0.0,,31.0,36.0,24.0
20285,2010-07-19,GR000016716,"HELLINIKON, GR",0.0,,31.0,35.0,26.0
20286,2010-07-20,GR000016716,"HELLINIKON, GR",0.0,,31.0,36.0,26.0
20287,2010-07-21,GR000016716,"HELLINIKON, GR",0.0,,29.0,33.0,24.0
20288,2010-07-22,GR000016716,"HELLINIKON, GR",0.0,,31.0,37.0,26.0
20289,2010-07-23,GR000016716,"HELLINIKON, GR",0.0,,32.0,37.0,28.0
20290,2010-07-24,GR000016716,"HELLINIKON, GR",0.0,,31.0,36.0,25.0
20291,2010-07-25,GR000016716,"HELLINIKON, GR",0.0,,31.0,36.0,27.0
20292,2010-07-26,GR000016716,"HELLINIKON, GR",0.0,,28.0,32.0,25.0
20293,2010-07-27,GR000016716,"HELLINIKON, GR",0.0,,27.0,31.0,23.0
20294,2010-07-28,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,24.0
20295,2010-07-29,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,22.0
20296,2010-07-30,GR000016716,"HELLINIKON, GR",0.0,,29.0,33.0,25.0
20297,2010-07-31,GR000016716,"HELLINIKON, GR",0.0,,27.0,33.0,21.0
20298,2010-08-01,GR000016716,"HELLINIKON, GR",0.0,,28.0,32.0,24.0
20299,2010-08-02,GR000016716,"HELLINIKON, GR",0.0,,30.0,35.0,24.0
20300,2010-08-03,GR000016716,"HELLINIKON, GR",0.0,,31.0,35.0,26.0
20301,2010-08-04,GR000016716,"HELLINIKON, GR",0.0,,29.0,34.0,25.0
20302,2010-08-05,GR000016716,"HELLINIKON, GR",0.0,,29.0,33.0,26.0
20303,2010-08-06,GR000016716,"HELLINIKON, GR",0.0,,28.0,31.0,27.0
20304,2010-08-07,GR000016716,"HELLINIKON, GR",0.0,,28.0,32.0,24.0
20305,2010-08-08,GR000016716,"HELLINIKON, GR",0.0,,29.0,33.0,23.0
20306,2010-08-09,GR000016716,"HELLINIKON, GR",0.0,,30.0,36.0,24.0
20307,2010-08-10,GR000016716,"HELLINIKON, GR",0.0,,31.0,37.0,28.0
20308,2010-08-11,GR000016716,"HELLINIKON, GR",0.0,,31.0,36.0,25.0
20309,2010-08-12,GR000016716,"HELLINIKON, GR",0.0,,30.0,34.0,25.0
20310,2010-08-13,GR000016716,"HELLINIKON, GR",0.0,,31.0,37.0,24.0
20311,2010-08-14,GR000016716,"HELLINIKON, GR",0.0,,31.0,39.0,23.0
20312,2010-08-15,GR000016716,"HELLINIKON, GR",0.0,,33.0,40.0,24.0
20313,2010-08-16,GR000016716,"HELLINIKON, GR",0.0,,33.0,40.0,27.0
20314,2010-08-17,GR000016716,"HELLINIKON, GR",0.0,,31.0,37.0,25.0
20315,2010-08-18,GR000016716,"HELLINIKON, GR",0.0,,31.0,35.0,28.0
20316,2010-08-19,GR000016716,"HELLINIKON, GR",0.0,,32.0,37.0,25.0
20317,2010-08-20,GR000016716,"HELLINIKON, GR",0.0,,33.0,39.0,28.0
20318,2010-08-21,GR000016716,"HELLINIKON, GR",0.0,,31.0,35.0,26.0
20319,2010-08-22,GR000016716,"HELLINIKON, GR",0.0,,28.0,32.0,25.0
20320,2010-08-23,GR000016716,"HELLINIKON, GR",0.0,,28.0,34.0,24.0
20321,2010-08-24,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,24.0
20322,2010-08-25,GR000016716,"HELLINIKON, GR",0.0,,28.0,34.0,21.0
20323,2010-08-26,GR000016716,"HELLINIKON, GR",0.0,,31.0,38.0,22.0
20324,2010-08-27,GR000016716,"HELLINIKON, GR",0.0,,32.0,37.0,26.0
20325,2010-08-28,GR000016716,"HELLINIKON, GR",0.0,,28.0,32.0,23.0
20326,2010-08-29,GR000016716,"HELLINIKON, GR",0.0,,29.0,32.0,24.0
20327,2010-08-30,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,26.0
20328,2010-08-31,GR000016716,"HELLINIKON, GR",0.0,,28.0,33.0,23.0
20329,2010-09-01,GR000016716,"HELLINIKON, GR",0.0,,26.0,31.0,21.0
20330,2010-09-02,GR000016716,"HELLINIKON, GR",0.0,,26.0,28.0,21.0
20331,2010-09-03,GR000016716,"HELLINIKON, GR",0.0,,26.0,30.0,21.0
20332,2010-09-04,GR000016716,"HELLINIKON, GR",0.0,,24.0,31.0,19.0
20333,2010-09-05,GR000016716,"HELLINIKON, GR",0.0,,26.0,29.0,24.0
20334,2010-09-06,GR000016716,"HELLINIKON, GR",0.0,,26.0,29.0,22.0
20335,2010-09-07,GR000016716,"HELLINIKON, GR",0.0,,26.0,31.0,19.0
20336,2010-09-08,GR000016716,"HELLINIKON, GR",0.0,,26.0,31.0,19.0
20337,2010-09-09,GR000016716,"HELLINIKON, GR",0.0,,26.0,33.0,20.0
20338,2010-09-10,GR000016716,"HELLINIKON, GR",0.0,,26.0,33.0,19.0
20339,2010-09-11,GR000016716,"HELLINIKON, GR",0.0,,23.0,28.0,18.0
20340,2010-09-12,GR000016716,"HELLINIKON, GR",0.0,,23.0,27.0,19.0
20341,2010-09-13,GR000016716,"HELLINIKON, GR",0.3,,23.0,28.0,19.0
20342,2010-09-14,GR000016716,"HELLINIKON, GR",0.0,,24.0,30.0,18.0
20343,2010-09-15,GR000016716,"HELLINIKON, GR",0.0,,24.0,31.0,19.0
20344,2010-09-16,GR000016716,"HELLINIKON, GR",0.0,,24.0,32.0,17.0
20345,2010-09-17,GR000016716,"HELLINIKON, GR",0.0,,25.0,29.0,19.0
20346,2010-09-18,GR000016716,"HELLINIKON, GR",0.0,,26.0,30.0,19.0
20347,2010-09-19,GR000016716,"HELLINIKON, GR",0.0,,25.0,31.0,20.0
20348,2010-09-20,GR000016716,"HELLINIKON, GR",0.0,,26.0,29.0,22.0
20349,2010-09-21,GR000016716,"HELLINIKON, GR",0.0,,26.0,31.0,21.0
20350,2010-09-22,GR000016716,"HELLINIKON, GR",0.0,,23.0,26.0,19.0
20351,2010-09-23,GR000016716,"HELLINIKON, GR",0.0,,22.0,27.0,16.0
20352,2010-09-24,GR000016716,"HELLINIKON, GR",0.0,,22.0,26.0,18.0
20353,2010-09-25,GR000016716,"HELLINIKON, GR",27.9,,22.0,26.0,19.0
20354,2010-09-26,GR000016716,"HELLINIKON, GR",7.6,,26.0,28.0,24.0
20355,2010-09-27,GR000016716,"HELLINIKON, GR",0.0,,24.0,28.0,22.0
20356,2010-09-28,GR000016716,"HELLINIKON, GR",0.0,,23.0,27.0,19.0
20357,2010-09-29,GR000016716,"HELLINIKON, GR",0.0,,24.0,28.0,20.0
20358,2010-09-30,GR000016716,"HELLINIKON, GR",0.0,,23.0,28.0,20.0
20359,2010-10-01,GR000016716,"HELLINIKON, GR",0.0,,22.0,26.0,20.0
20360,2010-10-02,GR000016716,"HELLINIKON, GR",0.0,,21.0,23.0,18.0
20361,2010-10-03,GR000016716,"HELLINIKON, GR",0.0,,21.0,26.0,16.0
20362,2010-10-04,GR000016716,"HELLINIKON, GR",0.0,,21.0,26.0,17.0
20363,2010-10-05,GR000016716,"HELLINIKON, GR",0.0,,21.0,26.0,18.0
20364,2010-10-06,GR000016716,"HELLINIKON, GR",0.0,,21.0,25.0,17.0
20365,2010-10-07,GR000016716,"HELLINIKON, GR",2.3,,19.0,,
20366,2010-10-08,GR000016716,"HELLINIKON, GR",0.0,,17.0,20.0,13.0
20367,2010-10-09,GR000016716,"HELLINIKON, GR",0.0,,15.0,20.0,12.0
20368,2010-10-10,GR000016716,"HELLINIKON, GR",0.0,,17.0,19.0,14.0
20369,2010-10-11,GR000016716,"HELLINIKON, GR",1.8,,19.0,22.0,17.0
20370,2010-10-12,GR000016716,"HELLINIKON, GR",0.0,,22.0,24.0,21.0
20371,2010-10-13,GR000016716,"HELLINIKON, GR",0.0,,22.0,24.0,19.0
20372,2010-10-14,GR000016716,"HELLINIKON, GR",1.0,,22.0,26.0,18.0
20373,2010-10-15,GR000016716,"HELLINIKON, GR",7.9,,21.0,24.0,17.0
20374,2010-10-16,GR000016716,"HELLINIKON, GR",0.0,,20.0,25.0,17.0
20375,2010-10-17,GR000016716,"HELLINIKON, GR",0.0,,21.0,26.0,17.0
20376,2010-10-18,GR000016716,"HELLINIKON, GR",30.0,,19.0,21.0,18.0
20377,2010-10-19,GR000016716,"HELLINIKON, GR",28.7,,22.0,26.0,18.0
20378,2010-10-20,GR000016716,"HELLINIKON, GR",0.0,,22.0,24.0,19.0
20379,2010-10-21,GR000016716,"HELLINIKON, GR",0.0,,20.0,26.0,17.0
20380,2010-10-22,GR000016716,"HELLINIKON, GR",0.0,,18.0,22.0,15.0
20381,2010-10-23,GR000016716,"HELLINIKON, GR",0.0,,15.0,18.0,12.0
20382,2010-10-24,GR000016716,"HELLINIKON, GR",0.0,,15.0,21.0,11.0
20383,2010-10-25,GR000016716,"HELLINIKON, GR",0.0,,17.0,19.0,13.0
20384,2010-10-26,GR000016716,"HELLINIKON, GR",13.0,,21.0,24.0,17.0
20385,2010-10-27,GR000016716,"HELLINIKON, GR",0.0,,19.0,22.0,16.0
20386,2010-10-28,GR000016716,"HELLINIKON, GR",21.8,,15.0,17.0,13.0
20387,2010-10-29,GR000016716,"HELLINIKON, GR",0.0,,12.0,14.0,10.0
20388,2010-10-30,GR000016716,"HELLINIKON, GR",0.0,,12.0,18.0,8.0
20389,2010-10-31,GR000016716,"HELLINIKON, GR",0.0,,13.0,18.0,6.0
20390,2010-11-01,GR000016716,"HELLINIKON, GR",0.0,,14.0,19.0,9.0
20391,2010-11-02,GR000016716,"HELLINIKON, GR",0.0,,15.0,19.0,11.0
20392,2010-11-03,GR000016716,"HELLINIKON, GR",0.0,,17.0,20.0,12.0
20393,2010-11-04,GR000016716,"HELLINIKON, GR",0.0,,17.0,22.0,12.0
20394,2010-11-05,GR000016716,"HELLINIKON, GR",0.0,,17.0,23.0,12.0
20395,2010-11-06,GR000016716,"HELLINIKON, GR",0.0,,17.0,23.0,12.0
