title,date,content,rating
Colgate Total Whitening Toothpaste 125ml,28th October 2021,"I was very happy that I was chosen to receive and review Colgate Total Whitening Toothpaste 125ml! I've been a long-time user of Colgate toothpaste so this is an exciting new addition to the products that I've tried. I used it immediately. My mouth and teeth felt very clean and fresh. It leaves a minty taste and odor that makes me feel really fresh and clean. I haven't seen any effects of the whitening that much but it did a good job in removing some stains on my teeth. Overall, I'm satisfied with the product and I will certainly continue to use it if it continues to perform well.",5 stars
Amazing Taste,28th October 2021,The taste of menthol is well balanced and it's among a great freshness that stays overnight! I feel my they protected at 100%,5 stars
Nice tasting Toothpaste,28th October 2021,"I really like the taste of this Toothpaste however, I haven't noticed any difference in the colour of my teeth after using this for a number of days. My previous Toothpaste was colgate max white where I noticed an instant change and glow to my teeth. However, I don't feel as if this product gives the same look. However, I really like the flavour which is pleasant and the tube is a really good size which would be perfect for larger families.",4 stars
Great toothpaste,28th October 2021,Really nice toothpaste. Nice level of minty freshness and teeth feel nice and clean after brushing.,5 stars
Colgate does it again,27th October 2021,"Colgate has provided another fantastic product again, fantastic toothpaste made a noticeable difference to my teeth after one use would highly recommend",4 stars
I highly recommend,27th October 2021,very good and efficient whitening toothpaste. It has improved the condition of the teeth a lot and you can see after a few uses that the discoloration has disappeared and they are a bit whiter. I will definitely buy it more than once. I recommend it with all my heart,5 stars
Very good product,27th October 2021,"After 3 days I can see a difference. My teeth looks slightly whiter . It taste okay, is not as strong as other toothpaste.",5 stars
Fresh breath!,26th October 2021,"This toothpaste leave your mouth and teeth feeling super super clean! Can't say I have noticed a difference in the whiteness but I haven't used it for long enough yet, to make an honest opinion. I would continue to buy this purely for the freshness and makes me feel confident",4 stars
Great product excellent value,26th October 2021,This is the best toothpaste there is. It's whitens teeth and it tastes great! What more can you ask for? I have already purchased another tube so Do yourself a favor and buy some Colgate today.,4 stars
Great product excellent value,26th October 2021,This is the best toothpaste there is. It's whitens teeth and it tastes great! What more can you ask for? I have already purchased another tube so Do yourself a favor and buy some Colgate today.,4 stars
Great product excellent value,26th October 2021,This is the best toothpaste there is. It's whitens teeth and it tastes great! What more can you ask for? I have already purchased another tube so Do yourself a favor and buy some Colgate today.,4 stars
Great toothpaste,26th October 2021,I really liked this toothpaste. It was a nice colour and texture unlike some i've used before. I found it worked well without too strong of a taste.,4 stars
Good reliable toothpaste,26th October 2021,"Overall the toothpaste is good. Leaves breath and mouth minty fresh as you'd expect, no strange aftertaste. The whitening will only be true to its word after a prolonged time of usage so not a quick fix but good to use to keep on top of stains before they build up",4 stars
Great product excellent value,26th October 2021,This is the best toothpaste there is. It's whitens teeth and it tastes great! What more can you ask for? I have already purchased another tube so Do yourself a favor and buy some Colgate today.,4 stars
Gifted product review,26th October 2021,"Nice toothpaste, it left my teeth feeling super clean and breath fresh. Freshness lasted a while, overall really pleased. I cannot comment on the whitening aspect yet as I've only used for past couple of days!",5 stars
Amazing product,26th October 2021,This is amazing product. I can see already difference after 1 week of use. Definitely recommend to friends and family. Thank you for the great opportunity do discover this product,5 stars
Great toothpaste,26th October 2021,"I would buy this as a standard toothpaste, it didn't do anything for me as in stand out, it gave me fresh breathe but my teeth felt sensitive after using it.",3 stars
Great,26th October 2021,Upon using this toothpaste the first thing I noticed was the fresh taste ! Left my mouth feeling fresh clean ! Seems like it's doing the trick my teeth seemed slightly whiter as I had some coffee stains and hopefully with more prolonged usage this will make more of a difference. ! Most whitening toothpastes I have tried don't seem to taste very nice but this one tastes really minty :-),5 stars
Refreshing,26th October 2021,My gums and teeth straight away feel super clean after first use. I love the minty taste that lasts longer then my previous toothpaste. Definitely would recommend,5 stars
Fresh breath!,26th October 2021,"This toothpaste leave your mouth and teeth feeling super super clean! Can't say I have noticed a difference in the whiteness but I haven't used it for long enough yet, to make an honest opinion. I would continue to buy this purely for the freshness and makes me feel confident",4 stars
Great toothpaste,26th October 2021,I really liked this toothpaste. It was a nice colour and texture unlike some i've used before. I found it worked well without too strong of a taste.,4 stars
Teeth feel super clean,25th October 2021,Have been using this for the last 4 days & really like it! Leaves my teeth feeling super clean & mouth really refreshing! Don't see much difference in whitening but I know it could take a few weeks for that! Did notice it helps with stains (coffee& smoker) it's the first whitening toothpaste from Colgate I've tried & really like it so far! Super massive tube too! Would prefer a pump as it's easier but it doesn't bother me that much.,4 stars
Colgate Total Whitening Toothpaste 125ml,25th October 2021,"Good taste, fresh breath for a long time. I do not see the whitening effect of my teeth, but maybe I am testing it too short. I can recommend Colgate Total Whitening Toothpaste because I like this product.",4 stars
Absolutely love this toothpaste!,25th October 2021,I have been using this toothpaste in the last few days and I love it! from the first use of this toothpaste my teeth have felt clean and my mouth after use has been refreshing. The taste (scent) of this product is very good as well and fits well with Colgate I have used many toothpaste brands but after trying Colgate Total Whitening Toothpaste I think I will stick to this brand. I have not noticed much of a difference regarding the tooth whitening but I am certain it takes many uses before seeing a difference. Overall this toothpaste works excellently at cleaning my teeth and is pleasant to use. I would rate this toothpaste by Colgate an easy 9/10.,5 stars
FRESH FEEL IN MOUTH AFTER USE,25th October 2021,EASY TO GET TOOTHPASTE OUT OF TUBE. LEAVES YOU MOUTH FEELING VERY FRESH AFTER USE,5 stars
Brilliant for stains,25th October 2021,"This product is well worth a try, I've only been using it for a couple of days and I am already feeling the difference in my teeth. Doesn't leave a bad taste in your mouth either after which some toothpastes do, definitely considering changing my toothpaste now",5 stars
Great product,8th October 2021,"It's a lovely, refreshing toothpaste. After I've used it, my mouth, teeth and gums feel clean and fresh. The tube is easy to use, i.e. it's easy to use just the right amount.",5 stars
Toothpaste,4th October 2021,"Love this toothpaste, seems to work better for me in keeping my breath fresher for longer. Recommend",5 stars
Toothpaste,4th October 2021,"Love this toothpaste, seems to work better for me in keeping my breath fresher for longer. Recommend",5 stars
Fresh,22nd September 2021,It's nice and fresh and last all day definitely recamend it,5 stars
Good toothpaste,14th September 2021,"I did like this toothpaste. Has a mild, minty taste, which is great for me as other toothpastes could be far too strong for me. Foams ok and leaves teeth feeling clean and fresh. My teeth looked white after using it but not super white. However I was happy with the effect. Price is also reasonable.",4 stars
Good Gel Toothpaste,6th September 2021,"The Colgate Total Whitening Gel Toothpaste is a good product. It is supposed to clean, whiten teeth, give you fresh breath and more. It does make your teeth and mouth feel clean and fresh. Most whitening products do not have any affect on my teeth, so I can't say if it whitens.",4 stars
Colgate Total Whitening™ Toothpaste,5th September 2021,I enjoyed using Colgate Total Whitening product toothpaste. It made my teeth feel clean and my breath smell fresh. I will definitely use it again.,5 stars
Colgate total whitening toothpaste,5th September 2021,The gel has a mild mint flavor. Mouth still felt fresh after several hours. However didn't get the overall feeling of having a clean mouth as I do with the charcoal toothpaste.,4 stars
Fresh breath,4th September 2021,"I've used Colgate for years & am always happy with their toothpastes. I tried Colgate Total Whitening Gel & it left my teeth clean & breath fresh. I have sensitive gums & this didn't irritate them. I love the gel & this formula has just the right amount of foaminess. Personally I've never had any whitening toothpaste make any difference in actual whitening, I think I'd have to use whitening strips or get a professional whitening. But I do like to use whitening formulas in hopes my teeth don't get any worse from all the coffee & wine I drink. Definitely recommend this Colgate toothpaste!",5 stars
"Clean, fresh breath",4th September 2021,"Using this toothpaste leaves my mouth feeling very clean and fresh. After using for a short time, I have not seen a difference in the color of my teeth, but they definitely feel clean and more fresh than other toothpaste I have used.",5 stars
So many benefits in one product!,4th September 2021,"I received my sample of Colgate Total Gel Whitening toothpaste pretty late, but in the 3 days I have used this product I noticed it leaves my mouth feeling overall cleaner, longer, compared to most brands. I have also noticed subtle whitening on my teeth in areas that were difficult to reach with strips (crowding/compact).",5 stars
Bright life,4th September 2021,I started using it right away. I was surprised how fast it made a difference on my teeth. Almost over night I saw a more whiter look on my teeth.,5 stars
This is a great toothpaste,4th September 2021,I am a huge fan of Colgate and love how fresh my mouth feels after I brush my teeth. And the freshness last a long time which makes it a great value. It works great with my electric toothbrush and keeps my gums clean. Not to mention the whitening is a major plus to have that Colgate smile. I would recommend to others.,5 stars
Colgate Total Whitening Excellent.,3rd September 2021,"Colgate Total Whitening Toothpaste is amazing it leaves my mouth fresh, clean and healthy all day long. No worries of bad breath or stains on my teeth all clean and looking fabulo to conquer that smile feeling confident and secure. Definitely recommend this awesome toothpaste and a brand to trust and reliable.",5 stars
5/5 stars for this toothpaste!,3rd September 2021,5/5 stars. It has a nice refreshing taste to it but it's not overpowering. It leaves my teeth and mouth feeling clean for hours.,5 stars
Fresh and Clean,3rd September 2021,"I really liked this toothpaste. Colgate is a brand I love and trust and when people ask how I keep my teeth so bright I say, ""I brush them with Colgate""! This toothpaste did not disappoint and is just what I would expect from this brand!",4 stars
Clean feeling.,3rd September 2021,The toothpaste made my mouth feel clean. It is not a strong toothpaste or minty. It is easy on the teeth. It helped removed Plaque and prevent it from building during the day. I noticed slight whitening but would need to use for long period.,4 stars
Pleasant peppermint flavor,3rd September 2021,"It had a strong mint flavor , that left my mouth feeling refreshed.The overall consistency of the flow of the toothpaste was good, it was not too thick. My teeth felt clean after using Colgate Total Whole Mouth Health.My teeth appeared to be whiter after using Colgate Whole Total Whole Mouth Health.",4 stars
Minty fresh,2nd September 2021,I like the texture of this gel more than the thinner watery gels. I would buy this formula.,5 stars
It actually did SURPRISED me 😁😁😁,2nd September 2021,I was sceptical but it actually did surprise me..I had results instantly within a few days.,5 stars
Good tooth paste that does the job,2nd September 2021,"Toothpaste taste great, makes my mouth feel clean and seems to do the job",4 stars
Total ly clean mouth!,2nd September 2021,This toothpaste is fantastic! It has a nice taste with no harsh abrasives. It leaves my whole mouth feeling nice and clean. My teeth look whiter as well.,5 stars
So fresh and so clean,2nd September 2021,The Colgate Total Whitening Gel Toothpaste is a product I enjoyed using. The paste has a nice gel consistency and does not give off a ton of foam when brushing. I liked that the mint wasn't overpowering. My teeth felt clean but not stripped which was nice and there was no after taste or texture change to the I side of my cheeks.,5 stars
Clean and fresh,2nd September 2021,It left my mouth feeling clean and refreshed. Overall there was nothing extremely impressive about this toothpaste. It was a smaller tube which leads to less waste.,3 stars
Refreshing New Toothpaste,2nd September 2021,I have found my new favorite toothpaste. It is not pasty and works great. The taste is not overpowering. It leaves my teeth feeling clean and fresh.,5 stars
Good toothpaste,2nd September 2021,"It works very well but it doesn't whiten teeth very well, no toothpaste does. But at least it prevents tooth decay.",4 stars
Smooth and effective,2nd September 2021,The product worked similarly to other toothpaste by keeping my teeth/gums feeling clean and refreshed. I love the design of the tube as it makes for easy application with no mess. I can't honestly say that I noticed any difference or impact from a whitening perspective. Would purchase in the future but more from a toothpaste performance vs. a whitening reason.,5 stars
Awesome product!,2nd September 2021,The taste is not overpowering and the paste itself is very usable. It's not too sticky or dry. It help keep mouth fresh for a while and it quite pleasant to use.,5 stars
Clean without strong flavor,2nd September 2021,"Not a strong flavor. This is good for me because I have a sensitive tongue. I've had some burn me, loss of taste, and burning gums. I can feel my teeth clean. The whitening part I'm not too sure.",5 stars
Great toothpaste,2nd September 2021,"The Colgate Total Whitening Gel toothpaste leaves my teeth feeling so sparkly and clean. I really feel as if my teeth are getting whiter and it definitely helps with the coffee stains. It has a great minty flavor leaving me with fresh breath. Overall, it is a great everyday toothpaste.",5 stars
Colgate toothpaste,2nd September 2021,My favorite toothpaste!! I love the fact that it's gel and has a wonderful not too strong minty flavor. My teeth feel really clean after using this toothpaste. My breathe is extremely fresh. After using it for a few days I noticed my Teeth looked whiter.,5 stars
Not a noticeable difference.,2nd September 2021,"I received this product to try and review. I only got a chance to try this for a little over 2 weeks. In that time span, I haven't noticed any considerable change in the brightness/whiteness of my teeth. Perhaps it takes longer. I will continue to try this for up to a month and if possible give another review. The taste isn't bad and I must say that my mouth and teeth ""feel"" much more clean compared to the regular toothpaste that I use.",3 stars
I LOVE THIS TOOTHPASTE GEL!,2nd September 2021,I LOVE THIS PRODUCT! IT TASTED GREAT AND DID A GREAT JOB OF WHITENING MIND AND MY HUSBAND TEETH. IT FRESHENED OUR BREATH AND I WOULD RECOMMEND THIS TO EVERYONE.,5 stars
Great tasting and effective toothpaste,2nd September 2021,"The toothpaste had a clean and minty flavor that was strong, but not too strong, and left my mouth feeling clean and fresh. I felt like the product cleaned better than other products.",5 stars
Love this toothpaste,2nd September 2021,I liked the taste and feel while I brushed and after. I don't think I've used it long enough to show much improvement in the whiteness of my teeth but I'm sure it will help down the line.,5 stars
Good toothpaste,2nd September 2021,"Great flavor, minty but not overpowering. No burning sensation. Doesn't foam an excessive amount. Breath is fresh and teeth feel very clean.",4 stars
Good toothpaste,2nd September 2021,"Great flavor, minty but not overpowering. No burning sensation. Doesn't foam an excessive amount. Breath is fresh and teeth feel very clean.",4 stars
Good mildly whitening toothpaste,2nd September 2021,"The packaging is similar to other Colgate toothpastes, it has a standup flip-top lid and a squeeze tube. The toothpaste itself is white with the typical refreshing minty flavor. I used it with my Colgate Hum electric toothbrush. It does not take much to cover your whole mouth. I have the same problem that I have with most toothpaste in that is foams up so much I end up with foam spilling out of my mouth. I need a pause function on the Hum so I can spit out most of it half way through brushing. It leaves my teeth feeling clean and makes it easy for me to scrape off my tongue. I have not been using it long enough to notice if it is making my teeth any whiter. I am hopeful that at a minimum it will keep them from getting any more stained than they already are. I would recommend this toothpaste to anyone looking for a good complete fluoride toothpaste.",3 stars
Excellent for healthy oral care.,2nd September 2021,Colgate Total Whitening Toothpaste has a pleasant taste. It has just the right amount of foam and glides easily onto toothbrush. Mouth is fresh and clean. Noticeable whiteness of teeth in a short period of time. Perfect for the entire family.,5 stars
Great product overall,2nd September 2021,This toothpaste is great for an everyday toothpaste. The taste is not overwhelming. I like the texture of the gel. It foams up nicely while brushing and really feels like it's getting into all of the nooks and crannies of my teeth. My teeth appear whiter even after just a few days. And they feel clean every time I use this toothpaste.,5 stars
"So far, so good!",1st September 2021,"I have been using the Colgate Total Whitening Toothpaste for about a week now. So far, it seems to work as described (only time will tell with the whitening). It's well packed, comes out of the tube easily, no mess. My only wish is that the minty flavor was a bit stronger. I personally like that fresh breath feel in my mouth-this only last a short time with this toothpaste.",4 stars
Whitening Toothpaste Review,1st September 2021,"Great tasting toothpaste, does a fabulous cleaning . Whole mouth is very refreshed when finished. Highly recommend to all! You can't go wrong in selecting this toothpaste.",4 stars
Good toothpaste great taste,1st September 2021,I always use Colgate products but never the whitening ones. Was eager to give it a try. Taste was great but maybe my teeth are too old and stained so didn't see much change,4 stars
Great Toothpaste!,1st September 2021,This is such a great toothpaste! It cleans my teeth and freshens my breath well. I love how white it makes my teeth. I will definitely be repurchasing.,5 stars
Fresh and clean,1st September 2021,"For now on I will be using Colgate Total Whitening Gel Toothpaste. After I brushed my teeth using Colgate Total Whitening Gel Toothpaste my mouth and teeth fell clean and most important - my breath is amazing. About the whitening I don't know yet, I haven't used it long enough to notice any changes on the color of my teeth.",5 stars
My favorite toothpaste,1st September 2021,"This is definitely my favorite toothpaste. The foam quantity (when used with an electric toothbrush), cleaning ability, and freshness are all on point",5 stars
Good brightening toothpaste,1st September 2021,I enjoyed the fresh feeling I had after using Colgate Total Whitening Gel Toothpaste. The whitening effect was not as noticeable as some other varieties I have used before. I would recommend if you're looking to keep your smile bright but not for stain removal.,4 stars
Gel Toothpaste,1st September 2021,I absolutely love my toothpaste. The gel is so refreshing and it keeps my teeth nice and white. I do not feel the grittiness on my teeth after brushing that I get sometimes from brushing with a paste.,5 stars
I saw INSTANT results in one week!!!,1st September 2021,"I must say I'm already a big fan of Colgate, however this was a new for me to use the Colgate total whitening for my teeth. I was skeptical at first because there's so many two faces out on the market claiming that they can do this or they can do that!! To my surprise this tooth paste did exactly exactly as it said it would I Saul results within one week I mean game changing results. I've gotten so many compliments from my friends and family. And I've used it twice a day now for one week. I'm going to continue using it and I've already purchased another tube for my daughter. I definitely highly recommend this not to mention it has a great taste in leaves your mouth feeling fresh clean and you have a long last fresh breath",5 stars
"So far, so good!",1st September 2021,"I have been using the Colgate Total Whitening Toothpaste for about a week now. So far, it seems to work as described (only time will tell with the whitening). It's well packed, comes out of the tube easily, no mess. My only wish is that the minty flavor was a bit stronger. I personally like that fresh breath feel in my mouth-this only last a short time with this toothpaste.",4 stars
Love it!,31st August 2021,"I love this toothpaste! It cleans great and doesn't have an overpowering smell or taste. My teenage son even likes it, he said it doesn't burn his moth like other toothpastes do. Will definitely buy and continue to use on a regular basis!",5 stars
White to whiter,31st August 2021,This toothpaste is awesome. It makes my teeth feel clean unlike other ones. I have noticed a difference in my teeth as well getting a little whiter.,5 stars
One week says a lot !,31st August 2021,After using the product a week I felt and saw a noticeable difference of my teeth. They were brighter and cleaner feeling in general.,5 stars
Great toothpaste,30th August 2021,I like the brand Colgate better than Crest in the first place because Crest toothpaste is too abrasive. My teeth needed to be whiter so I like this Colgate Total Whitening toothpaste.,5 stars
Great whitening toothpaste,30th August 2021,"I have never used whitening toothpaste before, and this toothpaste makes me wonder why! I drink coffee and red wine, eat blueberries and chocolate, so I should. My teeth are a few shades lighter after just one week!",5 stars
fresh feeling,30th August 2021,The toothpaste made my mouth feel clean and refresh. After 1 week my husband notice a difference. He thought I was using whitening strips.,5 stars
Best toothpaste!,30th August 2021,Great tasting toothpaste. washes away clean. left breath fresh,4 stars
Total Clean,30th August 2021,I really love this Colgate Total Whitening Toothpaste. It provides all the protection for my teeth in one easy to use paste. I like the taste and leaves my breath fresh and my mouth clean. This is now the only toothpaste that I will need to buy.,5 stars
Clean mouth feeling toothpaste,30th August 2021,I felt with this toothpaste you could really feel the toothpaste working. It left a tingly sensation in your mouth after you're done brushing which really seemed to make your mouth feel super clean.,4 stars
Colgate is great!,29th August 2021,Colgate Total Whitening has a great taste and it really felt like a clean mouth after brushing. It also did seem to help remove some of the stains. I recommend it to anyone looking for a toothpaste that has good flavor and helps whiten teeth.,5 stars
Colgate Total Whitening Toothpaste,29th August 2021,"Pleasant tasting toothpaste. I cannot speak to the whitening power as my teeth have been neglected over many years and will not whiten. The paste sometimes melts into a milky liquid instead of staying a paste, but other than that it works well cleaning teeth.",4 stars
Love this product,29th August 2021,Received this product through a testing website and I am a fan!! The toothpaste is fresh and seems to be working great ! My teeth seem brighter,5 stars
Colgate total whitening toothpaste,28th August 2021,I tried Colgate total whitening toothpaste and it was great!! It was a nice foam that made my teeth feel nice and clean. I love my nice white teeth!,5 stars
love it,28th August 2021,very refreshing. I love the taste and it makes my mouth stay fresh all day long. I have already noticed a difference in how white my teeth look after 2 weeks,5 stars
Great flavor and helps whiten,28th August 2021,"I hadn't purchased Colgate Total whitening before receiving this product,and I forgot how much I really liked Colgate brand before switching .It has great flavor and really does help to whiten your teeth, and it's not as expensive as some other brands, so if you Haven't tried Colgate Total Whitening in awhile give it a try again it might just surprise you like it did me.",5 stars
Better toothpaste,28th August 2021,I have been very impressed with the quality of this toothpaste. It tastes great and makes my mouth feel completely clean. I would highly recommend this product to everyone. The high ratings it had shows it is amazing breakthrough for mouths all over.,5 stars
